# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                                                       |link                                           |
|--------------------------|--------------|-------------------|----------------------------------------------------------------------------------------------|-----------------------------------------------|
|2023-09-28 01:00:04.627115|CVE-2023-27628|cvss:6.5 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-27628|
|2023-09-28 01:00:05.713657|CVE-2023-27622|cvss:5.9 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-27622|
|2023-09-28 01:00:06.660950|CVE-2023-27617|cvss:5.9 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-27617|
|2023-09-28 01:00:07.623541|CVE-2023-27616|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-27616|
|2023-09-28 01:00:08.645869|CVE-2023-25483|cvss:5.9 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-25483|
|2023-09-28 01:00:09.617605|CVE-2023-4934 |cvss:8.8 (HIGH)    |(SQL injection, Improper Neutralization)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-4934 |
|2023-09-28 01:00:10.615240|CVE-2023-4737 |cvss:9.8 (CRITICAL)|(SQL injection, Improper Neutralization)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-4737 |
|2023-09-28 01:00:11.567973|CVE-2023-3767 |cvss:9.8 (CRITICAL)|(PHP, Command injection)                                                                      |https://www.cve.org/CVERecord?id=CVE-2023-3767 |
|2023-09-28 02:00:05.155722|CVE-2023-41071|cvss:0 (Not_rated) |(use-after-free, Execute arbitrary code)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-41071|
|2023-09-28 02:00:06.075189|CVE-2023-36851|cvss:5.3 (MEDIUM)  |(PHP, Critical, Missing Authentication)                                                       |https://www.cve.org/CVERecord?id=CVE-2023-36851|
|2023-09-28 02:00:07.013203|CVE-2023-34043|cvss:6.7 (MEDIUM)  |(Vmware, Privilege Escalation)                                                                |https://www.cve.org/CVERecord?id=CVE-2023-34043|
|2023-09-28 02:00:07.987337|CVE-2023-28790|cvss:5.9 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-28790|
|2023-09-28 02:00:08.860071|CVE-2023-28490|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-28490|
|2023-09-28 02:00:09.859372|CVE-2023-28055|cvss:8.8 (HIGH)    |(Arbitrary code execution, Denial of service)                                                 |https://www.cve.org/CVERecord?id=CVE-2023-28055|
|2023-09-28 03:00:05.258945|CVE-2023-41242|cvss:5.9 (MEDIUM)  |(XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                              |https://www.cve.org/CVERecord?id=CVE-2023-41242|
|2023-09-28 03:00:06.315764|CVE-2023-41241|cvss:5.9 (MEDIUM)  |(WordPress, XSS, cross-site scripting, Stored Cross-Site Scripting, Plugin)                   |https://www.cve.org/CVERecord?id=CVE-2023-41241|
|2023-09-28 03:00:07.462599|CVE-2023-41238|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-41238|
|2023-09-28 03:00:08.539802|CVE-2023-41237|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting)                                   |https://www.cve.org/CVERecord?id=CVE-2023-41237|
|2023-09-28 03:00:09.587582|CVE-2023-41236|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-41236|
|2023-09-28 03:00:10.533019|CVE-2023-41235|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting)                                   |https://www.cve.org/CVERecord?id=CVE-2023-41235|
|2023-09-28 04:00:06.225347|CVE-2023-5221 |cvss:4.7 (MEDIUM)  |(PHP, Code Injection, Critical)                                                               |https://www.cve.org/CVERecord?id=CVE-2023-5221 |
|2023-09-28 04:00:07.437881|CVE-2023-5197 |cvss:7.8 (HIGH)    |(use-after-free, Privilege Escalation)                                                        |https://www.cve.org/CVERecord?id=CVE-2023-5197 |
|2023-09-28 04:00:08.747192|CVE-2023-5175 |cvss:0 (Not_rated) |(Firefox)                                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-5175 |
|2023-09-28 04:00:09.764739|CVE-2023-5172 |cvss:0 (Not_rated) |(Firefox, use-after-free)                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-5172 |
|2023-09-28 04:00:11.163396|CVE-2023-5171 |cvss:0 (Not_rated) |(Firefox, use-after-free)                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-5171 |
|2023-09-28 04:00:12.090601|CVE-2023-5170 |cvss:0 (Not_rated) |(Firefox)                                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-5170 |
|2023-09-28 04:00:13.257674|CVE-2023-5169 |cvss:0 (Not_rated) |(Firefox, out-of-bounds)                                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5169 |
|2023-09-28 04:00:14.153075|CVE-2023-5168 |cvss:0 (Not_rated) |(Firefox, out-of-bounds)                                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5168 |
|2023-09-28 05:00:05.073567|CVE-2023-35071|cvss:9.8 (CRITICAL)|(SQL injection, Improper Neutralization)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-35071|
|2023-09-28 05:00:06.293663|CVE-2023-32377|cvss:0 (Not_rated) |(Execute arbitrary code, Buffer Overflow)                                                     |https://www.cve.org/CVERecord?id=CVE-2023-32377|
|2023-09-28 05:00:07.424754|CVE-2023-30493|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-30493|
|2023-09-28 05:00:08.357945|CVE-2023-30472|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-30472|
|2023-09-28 05:00:09.269026|CVE-2023-30471|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-30471|
|2023-09-28 06:00:05.367578|CVE-2023-40333|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-40333|
|2023-09-28 06:00:06.332037|CVE-2023-40330|cvss:7.1 (HIGH)    |(XSS, cross-site scripting, Reflected Cross-Site Scripting, Plugin)                           |https://www.cve.org/CVERecord?id=CVE-2023-40330|
|2023-09-28 06:00:07.316639|CVE-2023-40047|cvss:8.3 (HIGH)    |(XSS, cross-site scripting, Stored Cross-Site Scripting)                                      |https://www.cve.org/CVERecord?id=CVE-2023-40047|
