# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                                                   |link                                           |
|--------------------------|--------------|-------------------|------------------------------------------------------------------------------------------|-----------------------------------------------|
|2023-10-11 00:00:07.115688|CVE-2023-5488 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5488 |
|2023-10-11 01:00:04.822232|CVE-2023-30806|cvss:9.8 (CRITICAL)|(PHP, Command injection, Arbitrary Command, Execute arbitrary command)                    |https://www.cve.org/CVERecord?id=CVE-2023-30806|
|2023-10-11 01:00:05.904385|CVE-2023-30805|cvss:9.8 (CRITICAL)|(PHP, Command injection, Arbitrary Command, Execute arbitrary command)                    |https://www.cve.org/CVERecord?id=CVE-2023-30805|
|2023-10-11 01:00:06.866279|CVE-2023-30804|cvss:4.9 (MEDIUM)  |(PHP)                                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-30804|
|2023-10-11 01:00:07.751283|CVE-2023-30802|cvss:5.3 (MEDIUM)  |(PHP, Source code disclosure)                                                             |https://www.cve.org/CVERecord?id=CVE-2023-30802|
|2023-10-11 01:00:08.674035|CVE-2023-5491 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5491 |
|2023-10-11 01:00:09.598619|CVE-2023-5490 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5490 |
|2023-10-11 01:00:10.602382|CVE-2023-5489 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5489 |
|2023-10-11 02:00:04.928958|CVE-2023-43896|cvss:0 (Not_rated) |(Execute arbitrary code, Buffer Overflow)                                                 |https://www.cve.org/CVERecord?id=CVE-2023-43896|
|2023-10-11 02:00:05.971068|CVE-2023-5494 |cvss:6.3 (MEDIUM)  |(PHP, Command injection, Critical)                                                        |https://www.cve.org/CVERecord?id=CVE-2023-5494 |
|2023-10-11 02:00:06.840229|CVE-2023-5493 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5493 |
|2023-10-11 02:00:07.890519|CVE-2023-5492 |cvss:6.3 (MEDIUM)  |(PHP, Unrestricted Upload, Critical)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-5492 |
|2023-10-11 03:00:05.555171|CVE-2023-34992|cvss:9.6 (CRITICAL)|(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34992|
|2023-10-11 03:00:06.582419|CVE-2023-34989|cvss:8.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34989|
|2023-10-11 03:00:07.469851|CVE-2023-34988|cvss:8.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34988|
|2023-10-11 03:00:08.456357|CVE-2023-34987|cvss:8.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34987|
|2023-10-11 03:00:09.440682|CVE-2023-34986|cvss:8.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34986|
|2023-10-11 03:00:10.440512|CVE-2023-34985|cvss:8.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-34985|
|2023-10-11 03:00:11.469702|CVE-2023-25607|cvss:7.4 (HIGH)    |(Command injection, Arbitrary Command, Execute arbitrary command, Improper Neutralization)|https://www.cve.org/CVERecord?id=CVE-2023-25607|
|2023-10-11 03:00:12.433844|CVE-2023-5495 |cvss:6.3 (MEDIUM)  |(SQL injection, Critical)                                                                 |https://www.cve.org/CVERecord?id=CVE-2023-5495 |
|2023-10-11 03:00:13.472801|CVE-2022-22298|cvss:6.7 (MEDIUM)  |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2022-22298|
|2023-10-11 04:00:05.128413|CVE-2023-44249|cvss:4.1 (MEDIUM)  |(Remote Attack, Authorization bypass)                                                     |https://www.cve.org/CVERecord?id=CVE-2023-44249|
|2023-10-11 04:00:06.127016|CVE-2023-42788|cvss:7.6 (HIGH)    |(Command injection, Improper Neutralization)                                              |https://www.cve.org/CVERecord?id=CVE-2023-42788|
