# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                        |link                                           |
|--------------------------|--------------|-------------------|---------------------------------------------------------------|-----------------------------------------------|
|2023-10-26 03:00:05.178539|CVE-2023-43507|cvss:7.2 (HIGH)    |(Remote Attack, SQL injection)                                 |https://www.cve.org/CVERecord?id=CVE-2023-43507|
|2023-10-26 03:00:06.076326|CVE-2023-43281|cvss:0 (Not_rated) |(Remote Attack, Denial of service)                             |https://www.cve.org/CVERecord?id=CVE-2023-43281|
|2023-10-26 03:00:07.092313|CVE-2022-38485|cvss:0 (Not_rated) |(Directory traversal, Information disclosure)                  |https://www.cve.org/CVERecord?id=CVE-2022-38485|
|2023-10-26 03:00:08.198367|CVE-2022-38484|cvss:0 (Not_rated) |(File Upload, Directory traversal)                             |https://www.cve.org/CVERecord?id=CVE-2022-38484|
|2023-10-26 04:00:05.655374|CVE-2023-45555|cvss:0 (Not_rated) |(PHP, Remote Attack, File Upload, Execute arbitrary code)      |https://www.cve.org/CVERecord?id=CVE-2023-45555|
|2023-10-26 04:00:06.937349|CVE-2023-45554|cvss:0 (Not_rated) |(PHP, Remote Attack, File Upload, Execute arbitrary code)      |https://www.cve.org/CVERecord?id=CVE-2023-45554|
|2023-10-26 05:00:05.352966|CVE-2023-45990|cvss:0 (Not_rated) |(Remote Attack, Insecure permission)                           |https://www.cve.org/CVERecord?id=CVE-2023-45990|
|2023-10-26 05:00:06.271392|CVE-2023-45960|cvss:0 (Not_rated) |(Remote Attack, obtain sensitive information)                  |https://www.cve.org/CVERecord?id=CVE-2023-45960|
|2023-10-26 06:00:06.416558|CVE-2023-46128|cvss:6.5 (MEDIUM)  |(Django, MySQL)                                                |https://www.cve.org/CVERecord?id=CVE-2023-46128|
|2023-10-26 07:00:04.356401|CVE-2023-39619|cvss:0 (Not_rated) |(npm, Denial of service)                                       |https://www.cve.org/CVERecord?id=CVE-2023-39619|
|2023-10-26 07:00:05.265064|CVE-2023-29973|cvss:0 (Not_rated) |(Pfsense)                                                      |https://www.cve.org/CVERecord?id=CVE-2023-29973|
|2023-10-26 07:00:06.227746|CVE-2023-5568 |cvss:0 (Not_rated) |(Samba, Denial of service, Buffer Overflow)                    |https://www.cve.org/CVERecord?id=CVE-2023-5568 |
|2023-10-26 07:00:07.173510|CVE-2023-5363 |cvss:0 (Not_rated) |(OpenSSL, Critical)                                            |https://www.cve.org/CVERecord?id=CVE-2023-5363 |
|2023-10-26 08:00:04.925316|CVE-2022-3699 |cvss:7.8 (HIGH)    |(Plugin, Privilege Escalation)                                 |https://www.cve.org/CVERecord?id=CVE-2022-3699 |
|2023-10-26 08:00:06.254167|CVE-2022-3698 |cvss:4.4 (MEDIUM)  |(Plugin, Denial of service)                                    |https://www.cve.org/CVERecord?id=CVE-2022-3698 |
|2023-10-26 08:00:07.413902|CVE-2022-0353 |cvss:4.4 (MEDIUM)  |(Plugin, Denial of service)                                    |https://www.cve.org/CVERecord?id=CVE-2022-0353 |
|2023-10-26 09:00:05.647014|CVE-2023-26573|cvss:8.2 (HIGH)    |(Denial of service, Missing Authentication)                    |https://www.cve.org/CVERecord?id=CVE-2023-26573|
