# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                                                        |link                                           |
|--------------------------|--------------|-------------------|-----------------------------------------------------------------------------------------------|-----------------------------------------------|
|2023-11-02 02:00:05.460005|CVE-2023-40062|cvss:8 (HIGH)      |(Remote code execution, Execute command)                                                       |https://www.cve.org/CVERecord?id=CVE-2023-40062|
|2023-11-02 02:00:06.462167|CVE-2023-33228|cvss:4.5 (MEDIUM)  |(Exposure of Sensitive, obtain sensitive information)                                          |https://www.cve.org/CVERecord?id=CVE-2023-33228|
|2023-11-02 02:00:07.350663|CVE-2023-33227|cvss:8 (HIGH)      |(Remote code execution, Directory traversal)                                                   |https://www.cve.org/CVERecord?id=CVE-2023-33227|
|2023-11-02 02:00:08.339920|CVE-2023-33226|cvss:8 (HIGH)      |(Remote code execution, Directory traversal)                                                   |https://www.cve.org/CVERecord?id=CVE-2023-33226|
|2023-11-02 03:00:04.248580|CVE-2023-20270|cvss:5.8 (MEDIUM)  |(Remote Attack, Denial of service)                                                             |https://www.cve.org/CVERecord?id=CVE-2023-20270|
|2023-11-02 03:00:05.384366|CVE-2023-20256|cvss:5 (MEDIUM)    |(Cisco Adaptive Security Appliance, Remote Attack)                                             |https://www.cve.org/CVERecord?id=CVE-2023-20256|
|2023-11-02 03:00:06.391468|CVE-2023-20245|cvss:5.8 (MEDIUM)  |(Cisco Adaptive Security Appliance, Remote Attack)                                             |https://www.cve.org/CVERecord?id=CVE-2023-20245|
|2023-11-02 03:00:07.366867|CVE-2023-20244|cvss:8.6 (HIGH)    |(Remote Attack, Denial of service)                                                             |https://www.cve.org/CVERecord?id=CVE-2023-20244|
|2023-11-02 03:00:08.260105|CVE-2023-20195|cvss:4.7 (MEDIUM)  |(Remote Attack, Improper Validation)                                                           |https://www.cve.org/CVERecord?id=CVE-2023-20195|
|2023-11-02 03:00:09.269208|CVE-2023-20177|cvss:4 (MEDIUM)    |(Remote Attack, Denial of service)                                                             |https://www.cve.org/CVERecord?id=CVE-2023-20177|
|2023-11-02 03:00:10.235401|CVE-2023-20155|cvss:7.5 (HIGH)    |(Remote Attack, Denial of service)                                                             |https://www.cve.org/CVERecord?id=CVE-2023-20155|
