# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                                         |link                                           |
|--------------------------|--------------|-------------------|--------------------------------------------------------------------------------|-----------------------------------------------|
|2023-11-03 00:00:07.173139|CVE-2023-45342|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45342|
|2023-11-03 00:00:08.327622|CVE-2023-45341|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45341|
|2023-11-03 00:00:09.568405|CVE-2023-45340|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45340|
|2023-11-03 00:00:10.560101|CVE-2023-45339|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45339|
|2023-11-03 00:00:11.498579|CVE-2023-45337|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45337|
|2023-11-03 00:00:12.514653|CVE-2023-45336|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45336|
|2023-11-03 00:00:13.516810|CVE-2023-45335|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45335|
|2023-11-03 00:00:14.471359|CVE-2023-45334|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45334|
|2023-11-03 00:00:15.379034|CVE-2023-45333|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45333|
|2023-11-03 00:00:16.443022|CVE-2023-45332|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45332|
|2023-11-03 00:00:17.424085|CVE-2023-45331|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45331|
|2023-11-03 00:00:18.424974|CVE-2023-45330|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45330|
|2023-11-03 00:00:19.428669|CVE-2023-45329|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45329|
|2023-11-03 00:00:20.381387|CVE-2023-45328|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45328|
|2023-11-03 00:00:22.586669|CVE-2023-45327|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45327|
|2023-11-03 00:00:23.559114|CVE-2023-45326|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45326|
|2023-11-03 00:00:24.514757|CVE-2023-45325|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45325|
|2023-11-03 00:00:25.468507|CVE-2023-45324|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45324|
|2023-11-03 00:00:26.422977|CVE-2023-45323|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45323|
|2023-11-03 01:00:04.558531|CVE-2023-42802|cvss:10 (CRITICAL) |(PHP)                                                                           |https://www.cve.org/CVERecord?id=CVE-2023-42802|
|2023-11-03 01:00:05.536201|CVE-2023-45344|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45344|
|2023-11-03 01:00:06.487843|CVE-2023-45343|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45343|
|2023-11-03 02:00:04.544824|CVE-2023-45347|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45347|
|2023-11-03 02:00:05.567745|CVE-2023-45346|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45346|
|2023-11-03 02:00:06.475015|CVE-2023-45345|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45345|
|2023-11-03 02:00:07.474026|CVE-2023-45338|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                            |https://www.cve.org/CVERecord?id=CVE-2023-45338|
|2023-11-03 02:00:08.458576|CVE-2022-4900 |cvss:0 (Not_rated) |(PHP, Buffer Overflow)                                                          |https://www.cve.org/CVERecord?id=CVE-2022-4900 |
|2023-11-03 05:00:05.228596|CVE-2023-31026|cvss:6 (MEDIUM)    |(Plugin, Denial of service)                                                     |https://www.cve.org/CVERecord?id=CVE-2023-31026|
|2023-11-03 05:00:06.302166|CVE-2023-31021|cvss:5.5 (MEDIUM)  |(Plugin, Denial of service)                                                     |https://www.cve.org/CVERecord?id=CVE-2023-31021|
|2023-11-03 05:00:07.315558|CVE-2023-5924 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5924 |
|2023-11-03 05:00:08.268639|CVE-2023-5923 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5923 |
|2023-11-03 06:00:05.442234|CVE-2023-5928 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5928 |
|2023-11-03 06:00:06.557987|CVE-2023-5927 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5927 |
|2023-11-03 06:00:07.576458|CVE-2023-5926 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5926 |
|2023-11-03 06:00:08.463185|CVE-2023-5925 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5925 |
|2023-11-03 07:00:05.086394|CVE-2023-5930 |cvss:3.5 (LOW)     |(PHP)                                                                           |https://www.cve.org/CVERecord?id=CVE-2023-5930 |
|2023-11-03 07:00:06.145001|CVE-2023-5929 |cvss:5.5 (MEDIUM)  |(PHP, SQL injection, Critical)                                                  |https://www.cve.org/CVERecord?id=CVE-2023-5929 |
|2023-11-03 08:00:05.687242|CVE-2023-42299|cvss:0 (Not_rated) |(Remote Attack, Execute arbitrary code, Denial of service, Buffer Overflow)     |https://www.cve.org/CVERecord?id=CVE-2023-42299|
