# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3           |summary                                               |link                                           |
|--------------------------|--------------|------------------|------------------------------------------------------|-----------------------------------------------|
|2023-11-06 12:00:06.967997|CVE-2023-46802|cvss:0 (Not_rated)|(XXE, XML external entity)                            |https://www.cve.org/CVERecord?id=CVE-2023-46802|
|2023-11-06 14:00:04.908176|CVE-2023-32840|cvss:0 (Not_rated)|(Escalation of Privilege, Out of Bounds)              |https://www.cve.org/CVERecord?id=CVE-2023-32840|
|2023-11-06 14:00:05.864768|CVE-2023-32839|cvss:0 (Not_rated)|(Escalation of Privilege, Out of Bounds)              |https://www.cve.org/CVERecord?id=CVE-2023-32839|
|2023-11-06 14:00:06.861991|CVE-2023-32838|cvss:0 (Not_rated)|(Escalation of Privilege, Out of Bounds)              |https://www.cve.org/CVERecord?id=CVE-2023-32838|
|2023-11-06 14:00:07.861744|CVE-2023-32837|cvss:0 (Not_rated)|(Escalation of Privilege, Out of Bounds)              |https://www.cve.org/CVERecord?id=CVE-2023-32837|
|2023-11-06 14:00:08.874194|CVE-2023-32836|cvss:0 (Not_rated)|(Escalation of Privilege, Out of Bounds, Integer Overflow)|https://www.cve.org/CVERecord?id=CVE-2023-32836|
|2023-11-06 14:00:09.861738|CVE-2023-32835|cvss:0 (Not_rated)|(Memory corruption, Escalation of Privilege, Type confusion)|https://www.cve.org/CVERecord?id=CVE-2023-32835|
|2023-11-06 14:00:10.876864|CVE-2023-32834|cvss:0 (Not_rated)|(Memory corruption, Escalation of Privilege, Type confusion)|https://www.cve.org/CVERecord?id=CVE-2023-32834|
|2023-11-06 14:00:11.773046|CVE-2023-32832|cvss:0 (Not_rated)|(Memory corruption, Escalation of Privilege, Race Condition)|https://www.cve.org/CVERecord?id=CVE-2023-32832|
|2023-11-06 14:00:12.727444|CVE-2023-32825|cvss:0 (Not_rated)|(Input validation, Information disclosure, Out of Bounds)|https://www.cve.org/CVERecord?id=CVE-2023-32825|
