# Timezone is GMT/UTC+9

|datetime                  |cve_id        |cvss_v3            |summary                                                                                                                                |link                                           |
|--------------------------|--------------|-------------------|---------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|
|2023-11-08 02:00:04.693708|CVE-2023-47359|cvss:0 (Not_rated) |(Memory corruption, Buffer Overflow)                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-47359|
|2023-11-08 02:00:05.785476|CVE-2023-42659|cvss:9.1 (CRITICAL)|(WS_FTP, File Upload)                                                                                                                  |https://www.cve.org/CVERecord?id=CVE-2023-42659|
|2023-11-08 02:00:06.732872|CVE-2023-33481|cvss:0 (Not_rated) |(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-33481|
|2023-11-08 02:00:07.760354|CVE-2023-33480|cvss:0 (Not_rated) |(PHP, Remote Attack, Arbitrary Command, Execute arbitrary code, Execute arbitrary command, Input validation, Critical, crafted request)|https://www.cve.org/CVERecord?id=CVE-2023-33480|
|2023-11-08 02:00:08.801473|CVE-2023-33479|cvss:0 (Not_rated) |(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-33479|
|2023-11-08 02:00:09.810665|CVE-2023-33478|cvss:0 (Not_rated) |(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-33478|
|2023-11-08 02:00:10.878760|CVE-2023-41425|cvss:0 (Not_rated) |(Remote Attack, Execute arbitrary code)                                                                                                |https://www.cve.org/CVERecord?id=CVE-2023-41425|
|2023-11-08 03:00:04.775927|CVE-2022-46803|cvss:0 (Not_rated) |(Plugin, Improper Neutralization)                                                                                                      |https://www.cve.org/CVERecord?id=CVE-2022-46803|
|2023-11-08 03:00:05.779997|CVE-2022-45810|cvss:0 (Not_rated) |(WordPress, Improper Neutralization)                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2022-45810|
|2023-11-08 03:00:06.788620|CVE-2022-45370|cvss:0 (Not_rated) |(WordPress, Improper Neutralization)                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2022-45370|
|2023-11-08 04:00:06.821422|CVE-2023-46730|cvss:7.4 (HIGH)    |(PHP, Server-side Request Forgery)                                                                                                     |https://www.cve.org/CVERecord?id=CVE-2023-46730|
|2023-11-08 04:00:07.856609|CVE-2023-46501|cvss:0 (Not_rated) |(Remote Attack, obtain sensitive information)                                                                                          |https://www.cve.org/CVERecord?id=CVE-2023-46501|
|2023-11-08 04:00:08.773770|CVE-2023-41798|cvss:0 (Not_rated) |(WordPress, Plugin, Improper Neutralization)                                                                                           |https://www.cve.org/CVERecord?id=CVE-2023-41798|
|2023-11-08 05:02:17.089476|CVE-2023-46253|cvss:9.1 (CRITICAL)|(Squid, Remote code execution)                                                                                                         |https://www.cve.org/CVERecord?id=CVE-2023-46253|
|2023-11-08 06:00:05.748816|CVE-2023-5309 |cvss:6.8 (MEDIUM)  |(SAML)                                                                                                                                 |https://www.cve.org/CVERecord?id=CVE-2023-5309 |
|2023-11-08 07:00:04.794339|CVE-2023-46787|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46787|
|2023-11-08 07:00:05.975639|CVE-2023-46786|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46786|
|2023-11-08 07:00:07.073758|CVE-2023-46785|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46785|
|2023-11-08 07:00:08.198409|CVE-2023-46680|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46680|
|2023-11-08 07:00:09.299212|CVE-2023-46679|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46679|
|2023-11-08 07:00:10.387679|CVE-2023-46678|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46678|
|2023-11-08 07:00:11.447519|CVE-2023-46677|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46677|
|2023-11-08 07:00:12.519520|CVE-2023-46676|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46676|
|2023-11-08 08:00:05.224899|CVE-2023-46800|cvss:9.8 (CRITICAL)|(PHP, SQL injection)                                                                                                                   |https://www.cve.org/CVERecord?id=CVE-2023-46800|
