# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                     | link                                            |
|----------------------------|----------------|---------------------|-----------------------------------------------------------------------------|-------------------------------------------------|
| 2023-11-11 02:00:23.529329 | CVE-2023-47800 | cvss:0 (Not_rated)  | "(SQL Server, SQL Server, Remote code execution)"                           | https://www.cve.org/CVERecord?id=CVE-2023-47800 |
| 2023-11-11 02:00:24.562448 | CVE-2023-39796 | cvss:0 (Not_rated)  | "(SQL injection, Execute arbitrary code)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-39796 |
| 2023-11-11 02:00:25.473669 | CVE-2023-36024 | cvss:7.1 (HIGH)     | "(Microsoft Edge, Elevation of privilege)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-36024 |
| 2023-11-11 02:00:26.465898 | CVE-2023-36014 | cvss:7.3 (HIGH)     | "(Microsoft Edge, Remote code execution)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-36014 |
| 2023-11-11 02:00:27.467619 | CVE-2023-29975 | cvss:0 (Not_rated)  | (Pfsense)                                                                   | https://www.cve.org/CVERecord?id=CVE-2023-29975 |
| 2023-11-11 02:00:28.400292 | CVE-2023-5954  | cvss:5.9 (MEDIUM)   | "(HashiCorp Vault, Vault Enterprise)"                                       | https://www.cve.org/CVERecord?id=CVE-2023-5954  |
| 2023-11-11 02:00:29.369468 | CVE-2023-39198 | cvss:0 (Not_rated)  | "(use-after-free, Privilege Escalation, Denial of service, Race Condition)" | https://www.cve.org/CVERecord?id=CVE-2023-39198 |
| 2023-11-11 02:00:30.290825 | CVE-2023-6054  | cvss:5.5 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-6054  |
| 2023-11-11 02:00:31.229502 | CVE-2023-6053  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-6053  |
| 2023-11-11 02:00:32.169799 | CVE-2023-43791 | cvss:9.8 (CRITICAL) | (Django)                                                                    | https://www.cve.org/CVERecord?id=CVE-2023-43791 |
| 2023-11-11 02:00:33.122057 | CVE-2023-40055 | cvss:8 (HIGH)       | "(Remote code execution, Directory traversal)"                              | https://www.cve.org/CVERecord?id=CVE-2023-40055 |
| 2023-11-11 02:00:34.037647 | CVE-2023-40054 | cvss:8 (HIGH)       | "(Remote code execution, Directory traversal)"                              | https://www.cve.org/CVERecord?id=CVE-2023-40054 |
| 2023-11-11 02:00:35.037048 | CVE-2023-6052  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-6052  |
