# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                        | link                                            |
|----------------------------|----------------|---------------------|--------------------------------------------------------------------------------|-------------------------------------------------|
| 2023-11-15 12:00:25.731489 | CVE-2023-43591 | cvss:7.8 (HIGH)     | "(Zoom, Escalation of Privilege)"                                              | https://www.cve.org/CVERecord?id=CVE-2023-43591 |
| 2023-11-15 12:00:26.710780 | CVE-2023-43590 | cvss:7.8 (HIGH)     | "(Zoom, Escalation of Privilege, Link Following)"                              | https://www.cve.org/CVERecord?id=CVE-2023-43590 |
| 2023-11-15 12:00:27.684636 | CVE-2023-43588 | cvss:3.5 (LOW)      | "(Zoom, Zoom Client, Information disclosure)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-43588 |
| 2023-11-15 12:00:28.695552 | CVE-2023-43582 | cvss:5.5 (MEDIUM)   | "(Zoom, Zoom Client, Escalation of Privilege)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-43582 |
| 2023-11-15 12:00:29.657067 | CVE-2023-35080 | cvss:0 (Not_rated)  | "(Ivanti, Information disclosure, Escalation of Privilege, Denial of service)" | https://www.cve.org/CVERecord?id=CVE-2023-35080 |
| 2023-11-15 12:00:30.687118 | CVE-2023-45625 | cvss:7.2 (HIGH)     | "(Command injection, Arbitrary Command, Execute arbitrary command)"            | https://www.cve.org/CVERecord?id=CVE-2023-45625 |
| 2023-11-15 12:00:31.663849 | CVE-2023-45616 | cvss:9.8 (CRITICAL) | "(Remote code execution, Execute arbitrary code, Buffer Overflow)"             | https://www.cve.org/CVERecord?id=CVE-2023-45616 |
| 2023-11-15 12:00:32.649833 | CVE-2023-45615 | cvss:9.8 (CRITICAL) | "(Remote code execution, Execute arbitrary code, Buffer Overflow)"             | https://www.cve.org/CVERecord?id=CVE-2023-45615 |
| 2023-11-15 12:00:33.645196 | CVE-2023-45614 | cvss:9.8 (CRITICAL) | "(Remote code execution, Execute arbitrary code, Buffer Overflow)"             | https://www.cve.org/CVERecord?id=CVE-2023-45614 |
| 2023-11-15 12:00:34.662836 | CVE-2023-39206 | cvss:3.7 (LOW)      | "(Zoom, Zoom Client, Denial of service, Buffer Overflow)"                      | https://www.cve.org/CVERecord?id=CVE-2023-39206 |
| 2023-11-15 12:00:35.566642 | CVE-2023-39205 | cvss:4.3 (MEDIUM)   | "(Zoom, Zoom Client, Denial of service)"                                       | https://www.cve.org/CVERecord?id=CVE-2023-39205 |
| 2023-11-15 12:00:36.463736 | CVE-2023-39204 | cvss:4.3 (MEDIUM)   | "(Zoom, Zoom Client, Denial of service, Buffer Overflow)"                      | https://www.cve.org/CVERecord?id=CVE-2023-39204 |
| 2023-11-15 12:00:37.349842 | CVE-2023-39203 | cvss:4.3 (MEDIUM)   | "(Zoom, Zoom Desktop)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-39203 |
| 2023-11-15 12:00:38.250516 | CVE-2023-39202 | cvss:3.1 (LOW)      | "(Zoom, Denial of service)"                                                    | https://www.cve.org/CVERecord?id=CVE-2023-39202 |
| 2023-11-15 12:00:39.183219 | CVE-2023-39199 | cvss:4.9 (MEDIUM)   | "(Zoom, Zoom Client, Information disclosure)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-39199 |
| 2023-11-15 12:00:40.161380 | CVE-2023-48217 | cvss:8.8 (HIGH)     | "(Laravel, PHP)"                                                               | https://www.cve.org/CVERecord?id=CVE-2023-48217 |
| 2023-11-15 12:00:41.138536 | CVE-2023-46582 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-46582 |
| 2023-11-15 12:00:42.071898 | CVE-2023-46581 | cvss:0 (Not_rated)  | "(PHP, SQL injection, Execute arbitrary code)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-46581 |
| 2023-11-15 12:00:43.013045 | CVE-2023-46025 | cvss:0 (Not_rated)  | "(PHP, SQL injection, obtain sensitive information)"                           | https://www.cve.org/CVERecord?id=CVE-2023-46025 |
| 2023-11-15 12:00:44.026197 | CVE-2023-46024 | cvss:0 (Not_rated)  | "(PHP, SQL injection, obtain sensitive information)"                           | https://www.cve.org/CVERecord?id=CVE-2023-46024 |
| 2023-11-15 12:00:44.983669 | CVE-2023-46023 | cvss:0 (Not_rated)  | "(PHP, SQL injection, obtain sensitive information)"                           | https://www.cve.org/CVERecord?id=CVE-2023-46023 |
| 2023-11-15 12:00:45.955086 | CVE-2023-46022 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-46022 |
| 2023-11-15 12:00:46.977609 | CVE-2023-36558 | cvss:6.2 (MEDIUM)   | "(ASP.NET, Security Feature Bypass)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-36558 |
| 2023-11-15 12:00:47.979523 | CVE-2023-36038 | cvss:8.2 (HIGH)     | "(ASP.NET, Denial of service)"                                                 | https://www.cve.org/CVERecord?id=CVE-2023-36038 |
| 2023-11-15 12:00:48.974205 | CVE-2023-5528  | cvss:7.2 (HIGH)     | "(Kubernetes, Plugin)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-5528  |
| 2023-11-15 12:00:49.961089 | CVE-2023-47630 | cvss:7.1 (HIGH)     | (Kubernetes)                                                                   | https://www.cve.org/CVERecord?id=CVE-2023-47630 |
| 2023-11-15 12:00:50.907252 | CVE-2023-47130 | cvss:8.1 (HIGH)     | "(PHP, Remote code execution)"                                                 | https://www.cve.org/CVERecord?id=CVE-2023-47130 |
| 2023-11-15 12:00:51.860646 | CVE-2023-36437 | cvss:8.8 (HIGH)     | "(Azure, Remote code execution)"                                               | https://www.cve.org/CVERecord?id=CVE-2023-36437 |
| 2023-11-15 12:00:52.770302 | CVE-2023-36049 | cvss:7.6 (HIGH)     | "(Visual Studio, Elevation of privilege)"                                      | https://www.cve.org/CVERecord?id=CVE-2023-36049 |
| 2023-11-15 12:00:53.808379 | CVE-2023-34060 | cvss:0 (Not_rated)  | "(Vmware, Authentication bypass)"                                              | https://www.cve.org/CVERecord?id=CVE-2023-34060 |
| 2023-11-15 12:00:54.725071 | CVE-2023-47127 | cvss:4.2 (MEDIUM)   | (PHP)                                                                          | https://www.cve.org/CVERecord?id=CVE-2023-47127 |
| 2023-11-15 12:00:55.673236 | CVE-2023-47126 | cvss:3.7 (LOW)      | (PHP)                                                                          | https://www.cve.org/CVERecord?id=CVE-2023-47126 |
| 2023-11-15 12:00:56.588637 | CVE-2023-47125 | cvss:4.7 (MEDIUM)   | (PHP)                                                                          | https://www.cve.org/CVERecord?id=CVE-2023-47125 |
| 2023-11-15 12:00:57.596971 | CVE-2023-40719 | cvss:4.1 (MEDIUM)   | (Fortinet)                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-40719 |
| 2023-11-15 12:00:58.528667 | CVE-2023-39411 | cvss:5 (MEDIUM)     | "(Input validation, Denial of service)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-39411 |
| 2023-11-15 12:00:59.498893 | CVE-2023-39228 | cvss:5.3 (MEDIUM)   | "(Improper access control, Denial of service)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-39228 |
| 2023-11-15 12:01:00.484864 | CVE-2023-39221 | cvss:5.4 (MEDIUM)   | "(Escalation of Privilege, Improper access control)"                           | https://www.cve.org/CVERecord?id=CVE-2023-39221 |
| 2023-11-15 12:01:01.448453 | CVE-2023-38411 | cvss:3.9 (LOW)      | "(Escalation of Privilege, Improper access control)"                           | https://www.cve.org/CVERecord?id=CVE-2023-38411 |
| 2023-11-15 12:01:02.409325 | CVE-2023-38131 | cvss:6.5 (MEDIUM)   | "(Input validation, Denial of service)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-38131 |
| 2023-11-15 12:01:03.447121 | CVE-2023-36860 | cvss:7.6 (HIGH)     | "(Input validation, Escalation of Privilege)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-36860 |
| 2023-11-15 12:01:04.374194 | CVE-2023-33872 | cvss:5.5 (MEDIUM)   | "(Information disclosure, Improper access control)"                            | https://www.cve.org/CVERecord?id=CVE-2023-33872 |
| 2023-11-15 12:01:05.450419 | CVE-2023-32701 | cvss:7.1 (HIGH)     | "(Input validation, Information disclosure)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-32701 |
| 2023-11-15 12:01:06.420999 | CVE-2023-31203 | cvss:4.3 (MEDIUM)   | "(Input validation, Denial of service)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-31203 |
| 2023-11-15 12:01:07.411621 | CVE-2023-29177 | cvss:6.2 (MEDIUM)   | "(Execute arbitrary code, Buffer Overflow)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-29177 |
| 2023-11-15 12:01:08.397042 | CVE-2023-25603 | cvss:5.4 (MEDIUM)   | (Fortinet)                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-25603 |
| 2023-11-15 12:01:09.371540 | CVE-2023-22448 | cvss:5.9 (MEDIUM)   | "(Escalation of Privilege, Improper access control)"                           | https://www.cve.org/CVERecord?id=CVE-2023-22448 |
| 2023-11-15 12:01:10.342971 | CVE-2023-22337 | cvss:7.5 (HIGH)     | "(Input validation, Denial of service)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-22337 |
| 2023-11-15 12:01:11.267154 | CVE-2023-22285 | cvss:7.5 (HIGH)     | "(Improper access control, Denial of service)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-22285 |
| 2023-11-15 12:01:12.198218 | CVE-2023-20596 | cvss:0 (Not_rated)  | "(Arbitrary code execution, Input validation)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-20596 |
| 2023-11-15 12:01:13.159558 | CVE-2023-20571 | cvss:0 (Not_rated)  | "(Privilege Escalation, Race Condition)"                                       | https://www.cve.org/CVERecord?id=CVE-2023-20571 |
| 2023-11-15 12:01:14.161707 | CVE-2022-46646 | cvss:2.2 (LOW)      | "(Information disclosure, Exposure of Sensitive)"                              | https://www.cve.org/CVERecord?id=CVE-2022-46646 |
| 2023-11-15 12:01:15.094540 | CVE-2022-45469 | cvss:2.2 (LOW)      | "(Input validation, Escalation of Privilege)"                                  | https://www.cve.org/CVERecord?id=CVE-2022-45469 |
| 2023-11-15 12:01:16.129452 | CVE-2022-43666 | cvss:3.3 (LOW)      | "(Information disclosure, Exposure of Sensitive)"                              | https://www.cve.org/CVERecord?id=CVE-2022-43666 |
| 2023-11-15 12:01:17.164612 | CVE-2022-41689 | cvss:7.3 (HIGH)     | "(Escalation of Privilege, Improper access control)"                           | https://www.cve.org/CVERecord?id=CVE-2022-41689 |
| 2023-11-15 12:01:18.968437 | CVE-2022-41659 | cvss:1.9 (LOW)      | "(Improper access control, Denial of service)"                                 | https://www.cve.org/CVERecord?id=CVE-2022-41659 |
| 2023-11-15 12:01:19.945837 | CVE-2022-40681 | cvss:7.1 (HIGH)     | "(Fortinet, Denial of service, crafted request)"                               | https://www.cve.org/CVERecord?id=CVE-2022-40681 |
| 2023-11-15 12:01:20.842266 | CVE-2022-38786 | cvss:6.7 (MEDIUM)   | "(Escalation of Privilege, Improper access control)"                           | https://www.cve.org/CVERecord?id=CVE-2022-38786 |
| 2023-11-15 12:01:21.857692 | CVE-2022-23821 | cvss:0 (Not_rated)  | "(Arbitrary code execution, Improper access control)"                          | https://www.cve.org/CVERecord?id=CVE-2022-23821 |
| 2023-11-15 12:01:22.871887 | CVE-2023-45585 | cvss:2.1 (LOW)      | (ElasticSearch)                                                                | https://www.cve.org/CVERecord?id=CVE-2023-45585 |
| 2023-11-15 12:01:23.840171 | CVE-2023-42783 | cvss:7.3 (HIGH)     | "(Fortinet, Path Traversal)"                                                   | https://www.cve.org/CVERecord?id=CVE-2023-42783 |
| 2023-11-15 12:01:24.839564 | CVE-2023-41840 | cvss:7.4 (HIGH)     | "(OpenSSL, Fortinet)"                                                          | https://www.cve.org/CVERecord?id=CVE-2023-41840 |
| 2023-11-15 12:01:25.851126 | CVE-2023-36641 | cvss:6.2 (MEDIUM)   | "(Fortinet, Denial of service)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-36641 |
