# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                       | link                                            |
|----------------------------|----------------|---------------------|-------------------------------------------------------------------------------|-------------------------------------------------|
| 2023-11-17 12:00:24.175263 | CVE-2023-48078 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                        | https://www.cve.org/CVERecord?id=CVE-2023-48078 |
| 2023-11-17 12:00:25.053696 | CVE-2023-46214 | cvss:8 (HIGH)       | "(Splunk, Remote code execution)"                                             | https://www.cve.org/CVERecord?id=CVE-2023-46214 |
| 2023-11-17 12:00:26.038799 | CVE-2023-46213 | cvss:4.8 (MEDIUM)   | (Splunk)                                                                      | https://www.cve.org/CVERecord?id=CVE-2023-46213 |
| 2023-11-17 12:00:27.053519 | CVE-2023-36026 | cvss:4.3 (MEDIUM)   | (Microsoft Edge)                                                              | https://www.cve.org/CVERecord?id=CVE-2023-36026 |
| 2023-11-17 12:00:28.080125 | CVE-2023-36008 | cvss:6.6 (MEDIUM)   | "(Microsoft Edge, Remote code execution)"                                     | https://www.cve.org/CVERecord?id=CVE-2023-36008 |
| 2023-11-17 12:00:29.113901 | CVE-2023-47057 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-47057 |
| 2023-11-17 12:00:30.093443 | CVE-2023-47056 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Buffer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-47056 |
| 2023-11-17 12:00:31.068222 | CVE-2023-47055 | cvss:7.8 (HIGH)     | "(Use after free, Arbitrary code execution)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-47055 |
| 2023-11-17 12:00:31.961455 | CVE-2023-47051 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Buffer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-47051 |
| 2023-11-17 12:00:32.947239 | CVE-2023-47046 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-47046 |
| 2023-11-17 12:00:33.882337 | CVE-2023-6121  | cvss:0 (Not_rated)  | "(Remote Attack, Buffer Overflow, out-of-bounds)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6121  |
| 2023-11-17 12:00:34.838480 | CVE-2023-47042 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Buffer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-47042 |
| 2023-11-17 12:00:35.877632 | CVE-2023-47041 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                   | https://www.cve.org/CVERecord?id=CVE-2023-47041 |
