# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                           | link                                            |
|----------------------------|----------------|---------------------|-------------------------------------------------------------------|-------------------------------------------------|
| 2023-12-02 06:00:24.010492 | CVE-2023-48893 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-48893 |
| 2023-12-02 06:00:24.974204 | CVE-2023-48813 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-48813 |
| 2023-12-02 06:00:25.983818 | CVE-2023-45168 | cvss:8.4 (HIGH)     | "(Arbitrary Command, Execute arbitrary command)"                  | https://www.cve.org/CVERecord?id=CVE-2023-45168 |
| 2023-12-02 06:00:26.984006 | CVE-2023-5636  | cvss:9.8 (CRITICAL) | "(Command injection, Unrestricted Upload)"                        | https://www.cve.org/CVERecord?id=CVE-2023-5636  |
| 2023-12-02 06:00:28.063811 | CVE-2023-5634  | cvss:9.8 (CRITICAL) | "(SQL injection, Improper Neutralization)"                        | https://www.cve.org/CVERecord?id=CVE-2023-5634  |
| 2023-12-02 06:00:29.133926 | CVE-2023-48016 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-48016 |
| 2023-12-02 06:00:30.141334 | CVE-2023-47307 | cvss:0 (Not_rated)  | "(Denial of service, Buffer Overflow)"                            | https://www.cve.org/CVERecord?id=CVE-2023-47307 |
| 2023-12-02 06:00:31.238801 | CVE-2023-46956 | cvss:0 (Not_rated)  | "(Remote Attack, SQL injection, Execute arbitrary code)"          | https://www.cve.org/CVERecord?id=CVE-2023-46956 |
| 2023-12-02 06:00:32.284731 | CVE-2023-46388 | cvss:0 (Not_rated)  | "(Remote Attack, Insecure permission)"                            | https://www.cve.org/CVERecord?id=CVE-2023-46388 |
| 2023-12-02 06:00:33.287133 | CVE-2023-46385 | cvss:0 (Not_rated)  | "(Remote Attack, Insecure permission)"                            | https://www.cve.org/CVERecord?id=CVE-2023-46385 |
| 2023-12-02 06:00:34.258754 | CVE-2023-46384 | cvss:0 (Not_rated)  | "(Remote Attack, Insecure permission)"                            | https://www.cve.org/CVERecord?id=CVE-2023-46384 |
| 2023-12-02 06:00:35.139223 | CVE-2023-42917 | cvss:0 (Not_rated)  | "(Arbitrary code execution, Memory corruption)"                   | https://www.cve.org/CVERecord?id=CVE-2023-42917 |
| 2023-12-02 06:00:36.124651 | CVE-2023-42916 | cvss:0 (Not_rated)  | "(Input validation, out-of-bounds)"                               | https://www.cve.org/CVERecord?id=CVE-2023-42916 |
| 2023-12-02 06:00:37.068912 | CVE-2023-49735 | cvss:0 (Not_rated)  | "(XXE, Path Traversal)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-49735 |
| 2023-12-02 06:00:37.954411 | CVE-2023-48894 | cvss:0 (Not_rated)  | "(Incorrect access control, obtain sensitive information)"        | https://www.cve.org/CVERecord?id=CVE-2023-48894 |
| 2023-12-02 06:00:38.863814 | CVE-2023-6442  | cvss:3.5 (LOW)      | (PHP)                                                             | https://www.cve.org/CVERecord?id=CVE-2023-6442  |
| 2023-12-02 06:00:39.947257 | CVE-2023-6352  | cvss:5.3 (MEDIUM)   | "(Remote Attack, Traverse Directories)"                           | https://www.cve.org/CVERecord?id=CVE-2023-6352  |
| 2023-12-02 06:00:40.975687 | CVE-2023-34390 | cvss:4.5 (MEDIUM)   | "(Input validation, Denial of service)"                           | https://www.cve.org/CVERecord?id=CVE-2023-34390 |
| 2023-12-02 06:00:41.989586 | CVE-2023-31177 | cvss:4.3 (MEDIUM)   | "(Execute arbitrary code, Improper Neutralization)"               | https://www.cve.org/CVERecord?id=CVE-2023-31177 |
| 2023-12-02 06:00:42.954755 | CVE-2023-37890 | cvss:4.3 (MEDIUM)   | "(WordPress, Missing Authorization)"                              | https://www.cve.org/CVERecord?id=CVE-2023-37890 |
| 2023-12-02 06:00:44.000777 | CVE-2023-36507 | cvss:5.3 (MEDIUM)   | "(Plugin, Exposure of Sensitive)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-36507 |
| 2023-12-02 06:00:45.044256 | CVE-2023-6402  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                  | https://www.cve.org/CVERecord?id=CVE-2023-6402  |
| 2023-12-02 06:00:46.134645 | CVE-2023-44150 | cvss:7.5 (HIGH)     | "(Plugin, Exposure of Sensitive)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-44150 |
| 2023-12-02 06:00:47.147687 | CVE-2023-40211 | cvss:7.5 (HIGH)     | "(Plugin, Exposure of Sensitive)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-40211 |
| 2023-12-02 06:00:48.131782 | CVE-2023-6418  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6418  |
| 2023-12-02 06:00:49.138627 | CVE-2023-6417  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6417  |
| 2023-12-02 06:00:50.147049 | CVE-2023-6416  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6416  |
| 2023-12-02 06:00:51.060717 | CVE-2023-6415  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6415  |
| 2023-12-02 06:00:51.996848 | CVE-2023-6414  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6414  |
| 2023-12-02 06:00:52.983384 | CVE-2023-6413  | cvss:9.8 (CRITICAL) | "(PHP, Remote Attack, SQL injection)"                             | https://www.cve.org/CVERecord?id=CVE-2023-6413  |
