# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3            | summary                                                      | link                                            |
|----------------------------|----------------|--------------------|--------------------------------------------------------------|-------------------------------------------------|
| 2023-12-05 08:00:24.316962 | CVE-2023-48863 | cvss:0 (Not_rated) | "(SQL injection, Malicious SQL command)"                     | https://www.cve.org/CVERecord?id=CVE-2023-48863 |
| 2023-12-05 08:00:25.285896 | CVE-2023-44306 | cvss:6.5 (MEDIUM)  | "(Remote Attack, Path Traversal)"                            | https://www.cve.org/CVERecord?id=CVE-2023-44306 |
| 2023-12-05 08:00:26.296179 | CVE-2023-44305 | cvss:8.1 (HIGH)    | "(Remote Attack, Execute arbitrary code, Buffer Overflow)"   | https://www.cve.org/CVERecord?id=CVE-2023-44305 |
| 2023-12-05 08:00:27.278137 | CVE-2023-44304 | cvss:8.8 (HIGH)    | "(Remote Attack, Privilege Escalation)"                      | https://www.cve.org/CVERecord?id=CVE-2023-44304 |
| 2023-12-05 08:00:28.302922 | CVE-2023-44291 | cvss:7.2 (HIGH)    | "(Command injection, Remote Attack)"                         | https://www.cve.org/CVERecord?id=CVE-2023-44291 |
| 2023-12-05 08:00:29.298556 | CVE-2023-32870 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32870 |
| 2023-12-05 08:00:30.290850 | CVE-2023-32869 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32869 |
| 2023-12-05 08:00:31.277830 | CVE-2023-32868 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32868 |
| 2023-12-05 08:00:32.290787 | CVE-2023-32867 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32867 |
| 2023-12-05 08:00:33.300548 | CVE-2023-32866 | cvss:0 (Not_rated) | "(Memory corruption, Escalation of Privilege)"               | https://www.cve.org/CVERecord?id=CVE-2023-32866 |
| 2023-12-05 08:00:34.297345 | CVE-2023-32865 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32865 |
| 2023-12-05 08:00:35.303615 | CVE-2023-32864 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32864 |
| 2023-12-05 08:00:36.249773 | CVE-2023-32863 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32863 |
| 2023-12-05 08:00:37.233273 | CVE-2023-32862 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32862 |
| 2023-12-05 08:00:38.174831 | CVE-2023-32861 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32861 |
| 2023-12-05 08:00:39.111989 | CVE-2023-32860 | cvss:0 (Not_rated) | "(Escalation of Privilege, Buffer Overflow)"                 | https://www.cve.org/CVERecord?id=CVE-2023-32860 |
| 2023-12-05 08:00:40.086200 | CVE-2023-32859 | cvss:0 (Not_rated) | "(Escalation of Privilege, Buffer Overflow)"                 | https://www.cve.org/CVERecord?id=CVE-2023-32859 |
| 2023-12-05 08:00:41.079465 | CVE-2023-32857 | cvss:0 (Not_rated) | "(Information disclosure, Out of Bounds)"                    | https://www.cve.org/CVERecord?id=CVE-2023-32857 |
| 2023-12-05 08:00:42.048137 | CVE-2023-32856 | cvss:0 (Not_rated) | "(Information disclosure, Out of Bounds)"                    | https://www.cve.org/CVERecord?id=CVE-2023-32856 |
| 2023-12-05 08:00:42.952091 | CVE-2023-32854 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32854 |
| 2023-12-05 08:00:43.903134 | CVE-2023-32853 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32853 |
| 2023-12-05 08:00:44.855296 | CVE-2023-32852 | cvss:0 (Not_rated) | "(Input validation, Information disclosure)"                 | https://www.cve.org/CVERecord?id=CVE-2023-32852 |
| 2023-12-05 08:00:45.774845 | CVE-2023-32851 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds)"                   | https://www.cve.org/CVERecord?id=CVE-2023-32851 |
| 2023-12-05 08:00:46.829840 | CVE-2023-32850 | cvss:0 (Not_rated) | "(Escalation of Privilege, Out of Bounds, Integer Overflow)" | https://www.cve.org/CVERecord?id=CVE-2023-32850 |
| 2023-12-05 08:00:47.766635 | CVE-2023-32849 | cvss:0 (Not_rated) | "(Escalation of Privilege, Type confusion, Out of Bounds)"   | https://www.cve.org/CVERecord?id=CVE-2023-32849 |
