# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3            | summary                                                                   | link                                            |
|----------------------------|----------------|--------------------|---------------------------------------------------------------------------|-------------------------------------------------|
| 2023-12-13 08:00:22.934008 | CVE-2023-50252 | cvss:8.3 (HIGH)    | (PHP)                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-50252 |
| 2023-12-13 08:00:23.874132 | CVE-2023-50251 | cvss:5.3 (MEDIUM)  | (PHP)                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-50251 |
| 2023-12-13 08:00:24.850034 | CVE-2023-49279 | cvss:3.7 (LOW)     | (ASP.NET)                                                                 | https://www.cve.org/CVERecord?id=CVE-2023-49279 |
| 2023-12-13 08:00:25.929560 | CVE-2023-49278 | cvss:5.3 (MEDIUM)  | (ASP.NET)                                                                 | https://www.cve.org/CVERecord?id=CVE-2023-49278 |
| 2023-12-13 08:00:27.037739 | CVE-2023-49274 | cvss:3.7 (LOW)     | (ASP.NET)                                                                 | https://www.cve.org/CVERecord?id=CVE-2023-49274 |
| 2023-12-13 08:00:28.028045 | CVE-2023-6687  | cvss:6.8 (MEDIUM)  | (ElasticSearch)                                                           | https://www.cve.org/CVERecord?id=CVE-2023-6687  |
| 2023-12-13 08:00:28.950837 | CVE-2023-49922 | cvss:6.8 (MEDIUM)  | (ElasticSearch)                                                           | https://www.cve.org/CVERecord?id=CVE-2023-49922 |
| 2023-12-13 08:00:29.914997 | CVE-2023-49273 | cvss:5.4 (MEDIUM)  | (ASP.NET)                                                                 | https://www.cve.org/CVERecord?id=CVE-2023-49273 |
| 2023-12-13 08:00:30.966148 | CVE-2023-49089 | cvss:7.7 (HIGH)    | "(ASP.NET, Path Traversal)"                                               | https://www.cve.org/CVERecord?id=CVE-2023-49089 |
| 2023-12-13 08:00:31.887246 | CVE-2023-36009 | cvss:5.5 (MEDIUM)  | "(Microsoft Word, Information disclosure)"                                | https://www.cve.org/CVERecord?id=CVE-2023-36009 |
| 2023-12-13 08:00:32.968612 | CVE-2023-36006 | cvss:8.8 (HIGH)    | "(SQL Server, SQL Server, OLE DB, Remote code execution)"                 | https://www.cve.org/CVERecord?id=CVE-2023-36006 |
| 2023-12-13 08:00:33.960203 | CVE-2023-35639 | cvss:8.8 (HIGH)    | "(ODBC Driver, Remote code execution)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-35639 |
| 2023-12-13 08:00:34.937155 | CVE-2023-35636 | cvss:6.5 (MEDIUM)  | "(Microsoft Outlook, Information disclosure)"                             | https://www.cve.org/CVERecord?id=CVE-2023-35636 |
| 2023-12-13 08:00:35.921649 | CVE-2023-35635 | cvss:5.5 (MEDIUM)  | "(Windows Kernel, Denial of service)"                                     | https://www.cve.org/CVERecord?id=CVE-2023-35635 |
