# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                                          | link                                            |
|----------------------------|----------------|---------------------|------------------------------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2023-12-21 06:00:23.937062 | CVE-2023-47990 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                                           | https://www.cve.org/CVERecord?id=CVE-2023-47990 |
| 2023-12-21 06:00:25.093940 | CVE-2023-29384 | cvss:10 (CRITICAL)  | "(WordPress, Unrestricted Upload, Plugin)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-29384 |
| 2023-12-21 06:00:26.183133 | CVE-2023-49752 | cvss:9.3 (CRITICAL) | "(WordPress, SQL injection, Improper Neutralization)"                                                            | https://www.cve.org/CVERecord?id=CVE-2023-49752 |
| 2023-12-21 06:00:27.261250 | CVE-2023-49166 | cvss:7.6 (HIGH)     | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-49166 |
| 2023-12-21 06:00:28.239038 | CVE-2023-49161 | cvss:7.6 (HIGH)     | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-49161 |
| 2023-12-21 06:00:29.185386 | CVE-2023-29432 | cvss:8.2 (HIGH)     | "(WordPress, SQL injection, Improper Neutralization)"                                                            | https://www.cve.org/CVERecord?id=CVE-2023-29432 |
| 2023-12-21 06:00:30.182836 | CVE-2023-28491 | cvss:6.7 (MEDIUM)   | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-28491 |
| 2023-12-21 06:00:31.178095 | CVE-2023-26525 | cvss:7.1 (HIGH)     | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-26525 |
| 2023-12-21 06:00:32.166129 | CVE-2023-30872 | cvss:7.6 (HIGH)     | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-30872 |
| 2023-12-21 06:00:33.159268 | CVE-2023-30495 | cvss:8.5 (HIGH)     | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-30495 |
| 2023-12-21 06:00:34.121464 | CVE-2023-5011  | cvss:9.8 (CRITICAL) | "(PHP, SQL injection)"                                                                                           | https://www.cve.org/CVERecord?id=CVE-2023-5011  |
| 2023-12-21 06:00:35.085221 | CVE-2023-5010  | cvss:9.8 (CRITICAL) | "(PHP, SQL injection)"                                                                                           | https://www.cve.org/CVERecord?id=CVE-2023-5010  |
| 2023-12-21 06:00:36.045818 | CVE-2023-5007  | cvss:9.8 (CRITICAL) | "(PHP, SQL injection)"                                                                                           | https://www.cve.org/CVERecord?id=CVE-2023-5007  |
| 2023-12-21 06:00:36.973669 | CVE-2023-49825 | cvss:8.5 (HIGH)     | "(WordPress, SQL injection, Improper Neutralization)"                                                            | https://www.cve.org/CVERecord?id=CVE-2023-49825 |
| 2023-12-21 06:00:37.989893 | CVE-2023-49776 | cvss:9.3 (CRITICAL) | "(SQL injection, Improper Neutralization)"                                                                       | https://www.cve.org/CVERecord?id=CVE-2023-49776 |
