# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                | link                                            |
|----------------------------|----------------|---------------------|----------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-09 10:00:23.460100 | CVE-2023-52201 | cvss:7.6 (HIGH)     | "(SQL injection, Improper Neutralization)"                                             | https://www.cve.org/CVERecord?id=CVE-2023-52201 |
| 2024-01-09 10:00:24.448131 | CVE-2023-52142 | cvss:7.6 (HIGH)     | "(SQL injection, Plugin, Improper Neutralization)"                                     | https://www.cve.org/CVERecord?id=CVE-2023-52142 |
| 2024-01-09 10:00:25.356535 | CVE-2023-51408 | cvss:5.3 (MEDIUM)   | "(WordPress, Exposure of Sensitive)"                                                   | https://www.cve.org/CVERecord?id=CVE-2023-51408 |
| 2024-01-09 10:00:26.384633 | CVE-2023-51406 | cvss:5.3 (MEDIUM)   | "(WordPress, Exposure of Sensitive)"                                                   | https://www.cve.org/CVERecord?id=CVE-2023-51406 |
| 2024-01-09 10:00:27.495404 | CVE-2023-52204 | cvss:8.5 (HIGH)     | "(SQL injection, Improper Neutralization)"                                             | https://www.cve.org/CVERecord?id=CVE-2023-52204 |
| 2024-01-09 10:00:28.467174 | CVE-2023-52215 | cvss:9.3 (CRITICAL) | "(SQL injection, Improper Neutralization)"                                             | https://www.cve.org/CVERecord?id=CVE-2023-52215 |
| 2024-01-09 10:00:29.548440 | CVE-2024-21747 | cvss:7.6 (HIGH)     | "(SQL injection, Improper Neutralization)"                                             | https://www.cve.org/CVERecord?id=CVE-2024-21747 |
| 2024-01-09 10:00:30.620173 | CVE-2024-21650 | cvss:10 (CRITICAL)  | "(Remote code execution, Execute arbitrary code)"                                      | https://www.cve.org/CVERecord?id=CVE-2024-21650 |
| 2024-01-09 10:00:31.634278 | CVE-2023-39444 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-39444 |
| 2024-01-09 10:00:32.640956 | CVE-2023-39443 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-39443 |
| 2024-01-09 10:00:33.590630 | CVE-2023-39414 | cvss:7 (HIGH)       | "(Memory corruption, Integer Underflow)"                                               | https://www.cve.org/CVERecord?id=CVE-2023-39414 |
| 2024-01-09 10:00:34.662858 | CVE-2023-39413 | cvss:7 (HIGH)       | "(Memory corruption, Integer Underflow)"                                               | https://www.cve.org/CVERecord?id=CVE-2023-39413 |
| 2024-01-09 10:00:35.609706 | CVE-2023-39317 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39317 |
| 2024-01-09 10:00:36.655146 | CVE-2023-39316 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39316 |
| 2024-01-09 10:00:37.661102 | CVE-2023-39275 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39275 |
| 2024-01-09 10:00:38.692340 | CVE-2023-39274 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39274 |
| 2024-01-09 10:00:39.644373 | CVE-2023-39273 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39273 |
| 2024-01-09 10:00:40.681363 | CVE-2023-39272 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39272 |
| 2024-01-09 10:00:41.659937 | CVE-2023-39271 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39271 |
| 2024-01-09 10:00:42.656165 | CVE-2023-39270 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-39270 |
| 2024-01-09 10:00:43.677934 | CVE-2023-39235 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-39235 |
| 2024-01-09 10:00:44.655102 | CVE-2023-39234 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-39234 |
| 2024-01-09 10:00:45.677765 | CVE-2023-38657 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-38657 |
| 2024-01-09 10:00:46.734600 | CVE-2023-38653 | cvss:7 (HIGH)       | "(Memory corruption, Integer Overflow)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-38653 |
| 2024-01-09 10:00:47.740552 | CVE-2023-38652 | cvss:7 (HIGH)       | "(Memory corruption, Integer Overflow)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-38652 |
| 2024-01-09 10:00:48.691687 | CVE-2023-38651 | cvss:7 (HIGH)       | "(Memory corruption, Integer Overflow)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-38651 |
| 2024-01-09 10:00:49.645721 | CVE-2023-38650 | cvss:7 (HIGH)       | "(Memory corruption, Integer Overflow)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-38650 |
| 2024-01-09 10:00:50.664166 | CVE-2023-38649 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-38649 |
| 2024-01-09 10:00:51.587520 | CVE-2023-38648 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-38648 |
| 2024-01-09 10:00:52.582594 | CVE-2023-38623 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38623 |
| 2024-01-09 10:00:53.601090 | CVE-2023-38622 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38622 |
| 2024-01-09 10:00:54.586120 | CVE-2023-38621 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38621 |
| 2024-01-09 10:00:55.677140 | CVE-2023-38620 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38620 |
| 2024-01-09 10:00:56.692674 | CVE-2023-38619 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38619 |
| 2024-01-09 10:00:57.675375 | CVE-2023-38618 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-38618 |
| 2024-01-09 10:00:58.659109 | CVE-2023-38583 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Buffer Overflow)"                                          | https://www.cve.org/CVERecord?id=CVE-2023-38583 |
| 2024-01-09 10:00:59.783968 | CVE-2023-37578 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37578 |
| 2024-01-09 10:01:00.882634 | CVE-2023-37577 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37577 |
| 2024-01-09 10:01:06.864489 | CVE-2023-37576 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37576 |
| 2024-01-09 10:01:07.851578 | CVE-2023-37575 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37575 |
| 2024-01-09 10:01:08.867675 | CVE-2023-37574 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37574 |
| 2024-01-09 10:01:09.947150 | CVE-2023-37573 | cvss:7.8 (HIGH)     | "(use-after-free, Arbitrary code execution)"                                           | https://www.cve.org/CVERecord?id=CVE-2023-37573 |
| 2024-01-09 10:01:11.001211 | CVE-2023-37447 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37447 |
| 2024-01-09 10:01:11.966167 | CVE-2023-37446 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37446 |
| 2024-01-09 10:01:12.931455 | CVE-2023-37445 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37445 |
| 2024-01-09 10:01:13.949286 | CVE-2023-37444 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37444 |
| 2024-01-09 10:01:15.019994 | CVE-2023-37443 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37443 |
| 2024-01-09 10:01:15.996076 | CVE-2023-37442 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37442 |
| 2024-01-09 10:01:17.070312 | CVE-2023-37420 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37420 |
| 2024-01-09 10:01:18.186580 | CVE-2023-37419 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37419 |
| 2024-01-09 10:01:19.151254 | CVE-2023-37418 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37418 |
| 2024-01-09 10:01:20.156744 | CVE-2023-37417 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37417 |
| 2024-01-09 10:01:21.152305 | CVE-2023-37416 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37416 |
| 2024-01-09 10:01:22.191823 | CVE-2023-37282 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-37282 |
| 2024-01-09 10:01:23.200186 | CVE-2023-36916 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-36916 |
| 2024-01-09 10:01:24.130837 | CVE-2023-36915 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-36915 |
| 2024-01-09 10:01:25.146776 | CVE-2023-36864 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                         | https://www.cve.org/CVERecord?id=CVE-2023-36864 |
| 2024-01-09 10:01:26.176688 | CVE-2023-36861 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                            | https://www.cve.org/CVERecord?id=CVE-2023-36861 |
