# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                | link                                            |
|----------------------------|----------------|---------------------|------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-11 20:00:24.500072 | CVE-2023-38267 | cvss:6.2 (MEDIUM)   | (Docker)                                                               | https://www.cve.org/CVERecord?id=CVE-2023-38267 |
| 2024-01-11 20:00:25.470514 | CVE-2023-31003 | cvss:8.4 (HIGH)     | "(Docker, Improper access control)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-31003 |
| 2024-01-11 20:00:26.403876 | CVE-2023-31001 | cvss:5.1 (MEDIUM)   | (Docker)                                                               | https://www.cve.org/CVERecord?id=CVE-2023-31001 |
| 2024-01-11 20:00:27.375831 | CVE-2024-21638 | cvss:9.1 (CRITICAL) | "(Azure, Elevation of privilege)"                                      | https://www.cve.org/CVERecord?id=CVE-2024-21638 |
| 2024-01-11 20:00:28.366257 | CVE-2024-0333  | cvss:0 (Not_rated)  | "(Google Chrome, Insufficient data Validation)"                        | https://www.cve.org/CVERecord?id=CVE-2024-0333  |
| 2024-01-11 20:00:29.360027 | CVE-2023-42870 | cvss:0 (Not_rated)  | "(use-after-free, Execute arbitrary code)"                             | https://www.cve.org/CVERecord?id=CVE-2023-42870 |
| 2024-01-11 20:00:30.375679 | CVE-2023-42869 | cvss:0 (Not_rated)  | "(Input validation, Memory corruption)"                                | https://www.cve.org/CVERecord?id=CVE-2023-42869 |
| 2024-01-11 20:00:31.419560 | CVE-2023-42865 | cvss:0 (Not_rated)  | "(Input validation, out-of-bounds)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-42865 |
| 2024-01-11 20:00:32.478059 | CVE-2023-42862 | cvss:0 (Not_rated)  | "(Input validation, out-of-bounds)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-42862 |
| 2024-01-11 20:00:33.572805 | CVE-2023-41974 | cvss:0 (Not_rated)  | "(use-after-free, Execute arbitrary code)"                             | https://www.cve.org/CVERecord?id=CVE-2023-41974 |
| 2024-01-11 20:00:34.679786 | CVE-2023-41075 | cvss:0 (Not_rated)  | "(Execute arbitrary code, Type confusion)"                             | https://www.cve.org/CVERecord?id=CVE-2023-41075 |
| 2024-01-11 20:00:35.653532 | CVE-2023-40414 | cvss:0 (Not_rated)  | "(use-after-free, Arbitrary code execution)"                           | https://www.cve.org/CVERecord?id=CVE-2023-40414 |
| 2024-01-11 20:00:36.697634 | CVE-2023-32401 | cvss:0 (Not_rated)  | "(Arbitrary code execution, Buffer Overflow)"                          | https://www.cve.org/CVERecord?id=CVE-2023-32401 |
| 2024-01-11 20:00:37.629149 | CVE-2023-32378 | cvss:0 (Not_rated)  | "(use-after-free, Execute arbitrary code)"                             | https://www.cve.org/CVERecord?id=CVE-2023-32378 |
| 2024-01-11 20:00:38.658893 | CVE-2023-32366 | cvss:0 (Not_rated)  | "(Arbitrary code execution, Input validation, out-of-bounds)"          | https://www.cve.org/CVERecord?id=CVE-2023-32366 |
| 2024-01-11 20:00:39.688635 | CVE-2023-28185 | cvss:0 (Not_rated)  | "(Input validation, Integer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-28185 |
| 2024-01-11 20:00:40.692797 | CVE-2023-52064 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                 | https://www.cve.org/CVERecord?id=CVE-2023-52064 |
| 2024-01-11 20:00:41.646181 | CVE-2023-51127 | cvss:0 (Not_rated)  | "(Remote Attack, Directory traversal)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-51127 |
