# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                                              | link                                            |
|----------------------------|----------------|---------------------|----------------------------------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-12 22:00:22.568827 | CVE-2023-30016 | cvss:0 (Not_rated)  | "(PHP, Remote Attack, SQL injection, Execute arbitrary code, obtain sensitive information)"                          | https://www.cve.org/CVERecord?id=CVE-2023-30016 |
| 2024-01-12 22:00:23.479224 | CVE-2023-30015 | cvss:0 (Not_rated)  | "(PHP, Remote Attack, SQL injection, Execute arbitrary code, obtain sensitive information)"                          | https://www.cve.org/CVERecord?id=CVE-2023-30015 |
| 2024-01-12 22:00:24.515294 | CVE-2023-30014 | cvss:0 (Not_rated)  | "(PHP, Remote Attack, SQL injection, Execute arbitrary code, obtain sensitive information)"                          | https://www.cve.org/CVERecord?id=CVE-2023-30014 |
| 2024-01-12 22:00:25.480841 | CVE-2023-6740  | cvss:8.8 (HIGH)     | "(Plugin, Privilege Escalation)"                                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-6740  |
| 2024-01-12 22:00:26.507541 | CVE-2023-6735  | cvss:8.8 (HIGH)     | "(Plugin, Privilege Escalation)"                                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-6735  |
| 2024-01-12 22:00:27.517764 | CVE-2023-50919 | cvss:0 (Not_rated)  | "(Nginx, Authentication bypass)"                                                                                     | https://www.cve.org/CVERecord?id=CVE-2023-50919 |
| 2024-01-12 22:00:28.601227 | CVE-2024-22027 | cvss:0 (Not_rated)  | "(WordPress, Input validation, Plugin, Denial of service)"                                                           | https://www.cve.org/CVERecord?id=CVE-2024-22027 |
| 2024-01-12 22:00:29.693273 | CVE-2023-52339 | cvss:0 (Not_rated)  | "(Buffer Overflow, Integer Overflow)"                                                                                | https://www.cve.org/CVERecord?id=CVE-2023-52339 |
| 2024-01-12 22:00:30.694777 | CVE-2024-21617 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21617 |
| 2024-01-12 22:00:31.663919 | CVE-2024-21616 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service, Improper Validation)"                                                         | https://www.cve.org/CVERecord?id=CVE-2024-21616 |
| 2024-01-12 22:00:32.589051 | CVE-2024-21614 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21614 |
| 2024-01-12 22:00:33.563894 | CVE-2024-21613 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21613 |
| 2024-01-12 22:00:34.695639 | CVE-2024-21612 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21612 |
| 2024-01-12 22:00:35.727759 | CVE-2024-21611 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21611 |
| 2024-01-12 22:00:36.668875 | CVE-2024-21607 | cvss:5.3 (MEDIUM)   | (Juniper Networks)                                                                                                   | https://www.cve.org/CVERecord?id=CVE-2024-21607 |
| 2024-01-12 22:00:37.729691 | CVE-2024-21606 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21606 |
| 2024-01-12 22:00:38.680818 | CVE-2024-21604 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21604 |
| 2024-01-12 22:00:39.672586 | CVE-2024-21603 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21603 |
| 2024-01-12 22:00:40.700801 | CVE-2024-21602 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21602 |
| 2024-01-12 22:00:41.690876 | CVE-2024-21601 | cvss:5.9 (MEDIUM)   | "(Juniper Networks, Race Condition)"                                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-21601 |
| 2024-01-12 22:00:42.736972 | CVE-2024-21600 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Improper Neutralization, Denial of service)"                                                     | https://www.cve.org/CVERecord?id=CVE-2024-21600 |
| 2024-01-12 22:00:43.762602 | CVE-2024-21599 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-21599 |
| 2024-01-12 22:00:44.789499 | CVE-2024-21597 | cvss:5.3 (MEDIUM)   | (Juniper Networks)                                                                                                   | https://www.cve.org/CVERecord?id=CVE-2024-21597 |
| 2024-01-12 22:00:45.842588 | CVE-2024-21596 | cvss:5.3 (MEDIUM)   | "(Juniper Networks, Denial of service, Buffer Overflow)"                                                             | https://www.cve.org/CVERecord?id=CVE-2024-21596 |
| 2024-01-12 22:00:46.838280 | CVE-2024-21595 | cvss:7.5 (HIGH)     | "(Juniper Networks, Denial of service, Improper Validation)"                                                         | https://www.cve.org/CVERecord?id=CVE-2024-21595 |
| 2024-01-12 22:00:47.830894 | CVE-2024-21594 | cvss:5.5 (MEDIUM)   | "(Juniper Networks, Denial of service, Buffer Overflow)"                                                             | https://www.cve.org/CVERecord?id=CVE-2024-21594 |
| 2024-01-12 22:00:48.891945 | CVE-2024-21591 | cvss:9.8 (CRITICAL) | "(Juniper Networks, Remote code execution, Denial of service, out-of-bounds)"                                        | https://www.cve.org/CVERecord?id=CVE-2024-21591 |
| 2024-01-12 22:00:49.867446 | CVE-2024-21589 | cvss:7.4 (HIGH)     | "(Juniper Networks, Improper access control)"                                                                        | https://www.cve.org/CVERecord?id=CVE-2024-21589 |
| 2024-01-12 22:00:50.872534 | CVE-2024-21587 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service, Improper Handling of Exception)"                                              | https://www.cve.org/CVERecord?id=CVE-2024-21587 |
| 2024-01-12 22:00:51.844772 | CVE-2024-21585 | cvss:5.9 (MEDIUM)   | "(Juniper Networks, Denial of service, Improper Handling of Exception)"                                              | https://www.cve.org/CVERecord?id=CVE-2024-21585 |
| 2024-01-12 22:00:52.848984 | CVE-2023-36842 | cvss:6.5 (MEDIUM)   | "(Juniper Networks, Denial of service)"                                                                              | https://www.cve.org/CVERecord?id=CVE-2023-36842 |
| 2024-01-12 22:00:53.887499 | CVE-2023-51350 | cvss:0 (Not_rated)  | "(Remote Attack, Execute arbitrary code, obtain sensitive information)"                                              | https://www.cve.org/CVERecord?id=CVE-2023-51350 |
