# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                                  | link                                            |
|----------------------------|----------------|---------------------|----------------------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-14 06:00:23.847232 | CVE-2024-0485  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0485  |
| 2024-01-14 06:00:24.792872 | CVE-2024-0484  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0484  |
| 2024-01-14 06:00:25.807396 | CVE-2024-0483  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0483  |
| 2024-01-14 06:00:26.788494 | CVE-2024-0482  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0482  |
| 2024-01-14 06:00:27.788489 | CVE-2024-0481  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0481  |
| 2024-01-14 06:00:28.769103 | CVE-2024-0480  | cvss:7.3 (HIGH)     | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0480  |
| 2024-01-14 06:00:29.753379 | CVE-2024-0479  | cvss:7.3 (HIGH)     | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0479  |
| 2024-01-14 06:00:30.719524 | CVE-2024-0478  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0478  |
| 2024-01-14 06:00:31.757091 | CVE-2024-0477  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0477  |
| 2024-01-14 06:00:32.682998 | CVE-2024-0476  | cvss:2.4 (LOW)      | (PHP)                                                                                                    | https://www.cve.org/CVERecord?id=CVE-2024-0476  |
