# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                         | link                                            |
|----------------------------|----------------|---------------------|-------------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-16 07:00:23.082567 | CVE-2024-0558  | cvss:4.7 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-0558  |
| 2024-01-16 07:00:24.147180 | CVE-2023-50729 | cvss:8.5 (HIGH)     | "(File Upload, Execute arbitrary code)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-50729 |
| 2024-01-16 07:00:25.164739 | CVE-2023-42136 | cvss:7.8 (HIGH)     | "(Arbitrary Command, Shell Injection)"                                                          | https://www.cve.org/CVERecord?id=CVE-2023-42136 |
| 2024-01-16 07:00:26.366253 | CVE-2023-5253  | cvss:5.3 (MEDIUM)   | "(Websocket, Missing Authentication)"                                                           | https://www.cve.org/CVERecord?id=CVE-2023-5253  |
| 2024-01-16 07:00:27.376814 | CVE-2023-46749 | cvss:0 (Not_rated)  | "(Path Traversal, Authentication bypass)"                                                       | https://www.cve.org/CVERecord?id=CVE-2023-46749 |
| 2024-01-16 07:00:28.363563 | CVE-2024-0545  | cvss:5.3 (MEDIUM)   | (PHP)                                                                                           | https://www.cve.org/CVERecord?id=CVE-2024-0545  |
| 2024-01-16 07:00:29.345894 | CVE-2024-0543  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-0543  |
| 2024-01-16 07:00:30.385035 | CVE-2024-0552  | cvss:9.8 (CRITICAL) | "(Remote code execution, Remote Attack, Arbitrary Command, Execute arbitrary command)"          | https://www.cve.org/CVERecord?id=CVE-2024-0552  |
| 2024-01-16 07:00:31.365130 | CVE-2023-48383 | cvss:7.5 (HIGH)     | "(Remote Attack, Path Traversal)"                                                               | https://www.cve.org/CVERecord?id=CVE-2023-48383 |
| 2024-01-16 07:00:32.370166 | CVE-2024-0530  | cvss:5.5 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-0530  |
| 2024-01-16 07:00:33.267586 | CVE-2024-0529  | cvss:5.5 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-0529  |
