# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3            | summary                                                                         | link                                            |
|----------------------------|----------------|--------------------|---------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-17 13:00:22.350429 | CVE-2023-51807 | cvss:0 (Not_rated) | "(Remote Attack, obtain sensitive information)"                                 | https://www.cve.org/CVERecord?id=CVE-2023-51807 |
| 2024-01-17 13:00:23.355948 | CVE-2024-20985 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20985 |
| 2024-01-17 13:00:24.264987 | CVE-2024-20983 | cvss:4.9 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20983 |
| 2024-01-17 13:00:25.194624 | CVE-2024-20981 | cvss:4.9 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20981 |
| 2024-01-17 13:00:26.182231 | CVE-2024-20977 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20977 |
| 2024-01-17 13:00:27.075552 | CVE-2024-20975 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20975 |
| 2024-01-17 13:00:28.062276 | CVE-2024-20973 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20973 |
| 2024-01-17 13:00:29.047914 | CVE-2024-20971 | cvss:4.9 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20971 |
| 2024-01-17 13:00:30.050845 | CVE-2024-20969 | cvss:5.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20969 |
| 2024-01-17 13:00:30.990129 | CVE-2024-20967 | cvss:5.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20967 |
| 2024-01-17 13:00:31.956786 | CVE-2024-20965 | cvss:4.9 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20965 |
| 2024-01-17 13:00:32.959636 | CVE-2024-20963 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20963 |
| 2024-01-17 13:00:33.972159 | CVE-2024-20961 | cvss:6.5 (MEDIUM)  | "(MySQL, SQL Server, SQL Server)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-20961 |
| 2024-01-17 13:00:34.992498 | CVE-2024-20916 | cvss:8.3 (HIGH)    | "(Denial of service, Critical)"                                                 | https://www.cve.org/CVERecord?id=CVE-2024-20916 |
| 2024-01-17 13:00:35.988127 | CVE-2024-0603  | cvss:7.3 (HIGH)    | "(PHP, Critical)"                                                               | https://www.cve.org/CVERecord?id=CVE-2024-0603  |
| 2024-01-17 13:00:36.983922 | CVE-2024-0601  | cvss:6.3 (MEDIUM)  | "(Critical, Server-side Request Forgery)"                                       | https://www.cve.org/CVERecord?id=CVE-2024-0601  |
