# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3            | summary                                                              | link                                            |
|----------------------------|----------------|--------------------|----------------------------------------------------------------------|-------------------------------------------------|
| 2024-01-25 04:00:23.141958 | CVE-2023-51887 | cvss:0 (Not_rated) | "(Command injection, Remote Attack, Execute arbitrary code)"         | https://www.cve.org/CVERecord?id=CVE-2023-51887 |
| 2024-01-25 04:00:24.171759 | CVE-2023-51886 | cvss:0 (Not_rated) | "(Remote Attack, Denial of service, Buffer Overflow)"                | https://www.cve.org/CVERecord?id=CVE-2023-51886 |
| 2024-01-25 04:00:25.168657 | CVE-2023-51885 | cvss:0 (Not_rated) | "(Remote Attack, Execute arbitrary code, Buffer Overflow)"           | https://www.cve.org/CVERecord?id=CVE-2023-51885 |
| 2024-01-25 04:00:26.180653 | CVE-2023-44281 | cvss:6.6 (MEDIUM)  | "(Elevation of privilege, Denial of service)"                        | https://www.cve.org/CVERecord?id=CVE-2023-44281 |
| 2024-01-25 04:00:27.151894 | CVE-2023-51702 | cvss:0 (Not_rated) | (Kubernetes)                                                         | https://www.cve.org/CVERecord?id=CVE-2023-51702 |
| 2024-01-25 04:00:28.060869 | CVE-2023-50944 | cvss:0 (Not_rated) | (Apache Airflow)                                                     | https://www.cve.org/CVERecord?id=CVE-2023-50944 |
| 2024-01-25 04:00:29.134924 | CVE-2023-50943 | cvss:0 (Not_rated) | (Apache Airflow)                                                     | https://www.cve.org/CVERecord?id=CVE-2023-50943 |
| 2024-01-25 04:00:30.232198 | CVE-2024-22372 | cvss:0 (Not_rated) | "(Command injection, crafted request)"                               | https://www.cve.org/CVERecord?id=CVE-2024-22372 |
| 2024-01-25 04:00:31.187220 | CVE-2024-22380 | cvss:0 (Not_rated) | "(XXE, XML external entity)"                                         | https://www.cve.org/CVERecord?id=CVE-2024-22380 |
| 2024-01-25 04:00:32.151779 | CVE-2024-21796 | cvss:0 (Not_rated) | "(XXE, XML external entity)"                                         | https://www.cve.org/CVERecord?id=CVE-2024-21796 |
| 2024-01-25 04:00:33.159711 | CVE-2024-21765 | cvss:0 (Not_rated) | "(XXE, XML external entity)"                                         | https://www.cve.org/CVERecord?id=CVE-2024-21765 |
| 2024-01-25 04:00:34.078147 | CVE-2024-23638 | cvss:6.5 (MEDIUM)  | "(Squid, Denial of service)"                                         | https://www.cve.org/CVERecord?id=CVE-2024-23638 |
| 2024-01-25 04:00:34.955062 | CVE-2024-23633 | cvss:4.7 (MEDIUM)  | "(Django, Plugin)"                                                   | https://www.cve.org/CVERecord?id=CVE-2024-23633 |
| 2024-01-25 04:00:35.851558 | CVE-2024-0814  | cvss:0 (Not_rated) | "(Google Chrome, Remote Attack)"                                     | https://www.cve.org/CVERecord?id=CVE-2024-0814  |
| 2024-01-25 04:00:36.764108 | CVE-2024-0813  | cvss:0 (Not_rated) | "(Google Chrome, Use after free, Heap corruption)"                   | https://www.cve.org/CVERecord?id=CVE-2024-0813  |
