# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                      | link                                            |
|----------------------------|----------------|---------------------|----------------------------------------------|-------------------------------------------------|
| 2024-02-10 10:00:39.085277 | CVE-2023-50292 | cvss:0 (Not_rated)  | "(Remote code execution, Critical)"          | https://www.cve.org/CVERecord?id=CVE-2023-50292 |
| 2024-02-10 10:00:40.014526 | CVE-2024-25318 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25318 |
| 2024-02-10 10:00:40.919972 | CVE-2024-25316 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25316 |
| 2024-02-10 10:00:41.915489 | CVE-2024-25315 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25315 |
| 2024-02-10 10:00:42.896767 | CVE-2024-25314 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25314 |
| 2024-02-10 10:00:43.870651 | CVE-2024-25310 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25310 |
| 2024-02-10 10:00:44.794120 | CVE-2024-25307 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25307 |
| 2024-02-10 10:00:45.686343 | CVE-2023-6677  | cvss:9.8 (CRITICAL) | "(SQL injection, Improper Neutralization)"   | https://www.cve.org/CVERecord?id=CVE-2023-6677  |
| 2024-02-10 10:00:46.600127 | CVE-2024-25313 | cvss:0 (Not_rated)  | "(PHP, Authentication bypass)"               | https://www.cve.org/CVERecord?id=CVE-2024-25313 |
| 2024-02-10 10:00:47.501015 | CVE-2024-25312 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25312 |
| 2024-02-10 10:00:48.401561 | CVE-2024-25309 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25309 |
| 2024-02-10 10:00:49.319024 | CVE-2024-25308 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25308 |
| 2024-02-10 10:00:50.278045 | CVE-2024-25306 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25306 |
| 2024-02-10 10:00:51.173547 | CVE-2024-25305 | cvss:0 (Not_rated)  | "(PHP, Authentication bypass)"               | https://www.cve.org/CVERecord?id=CVE-2024-25305 |
| 2024-02-10 10:00:52.090894 | CVE-2024-25304 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                       | https://www.cve.org/CVERecord?id=CVE-2024-25304 |
| 2024-02-10 10:00:52.999536 | CVE-2024-25678 | cvss:0 (Not_rated)  | (LiteSpeed)                                  | https://www.cve.org/CVERecord?id=CVE-2024-25678 |
| 2024-02-10 10:00:53.989689 | CVE-2024-25675 | cvss:0 (Not_rated)  | (PHP)                                        | https://www.cve.org/CVERecord?id=CVE-2024-25675 |
| 2024-02-10 10:00:55.053230 | CVE-2024-21762 | cvss:9.6 (CRITICAL) | "(Fortinet, out-of-bounds, crafted request)" | https://www.cve.org/CVERecord?id=CVE-2024-21762 |
