# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                     | link                                            |
|----------------------------|----------------|---------------------|---------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-02-16 00:00:54.763379 | CVE-2024-25620 | cvss:6.4 (MEDIUM)   | (Kubernetes)                                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25620 |
| 2024-02-16 00:00:55.731215 | CVE-2024-1471  | cvss:5.9 (MEDIUM)   | "(Remote Attack, HTML injection)"                                                           | https://www.cve.org/CVERecord?id=CVE-2024-1471  |
| 2024-02-16 00:00:56.745310 | CVE-2024-1367  | cvss:7.2 (HIGH)     | "(Command injection, Remote Attack)"                                                        | https://www.cve.org/CVERecord?id=CVE-2024-1367  |
| 2024-02-16 00:00:57.748530 | CVE-2024-25618 | cvss:4.2 (MEDIUM)   | "(Azure, SAML)"                                                                             | https://www.cve.org/CVERecord?id=CVE-2024-25618 |
| 2024-02-16 00:00:58.722190 | CVE-2024-25617 | cvss:5.3 (MEDIUM)   | "(Squid, Denial of service, Critical)"                                                      | https://www.cve.org/CVERecord?id=CVE-2024-25617 |
| 2024-02-16 00:00:59.722915 | CVE-2024-1482  | cvss:7.1 (HIGH)     | (GitHub Enterprise Server)                                                                  | https://www.cve.org/CVERecord?id=CVE-2024-1482  |
| 2024-02-16 00:01:00.722128 | CVE-2024-25301 | cvss:0 (Not_rated)  | "(PHP, Remote code execution)"                                                              | https://www.cve.org/CVERecord?id=CVE-2024-25301 |
| 2024-02-16 00:01:01.718001 | CVE-2024-0009  | cvss:6.3 (MEDIUM)   | "(Palo Alto Networks, Pan-OS)"                                                              | https://www.cve.org/CVERecord?id=CVE-2024-0009  |
| 2024-02-16 00:01:02.779128 | CVE-2024-0008  | cvss:6.6 (MEDIUM)   | "(Palo Alto Networks, Pan-OS)"                                                              | https://www.cve.org/CVERecord?id=CVE-2024-0008  |
| 2024-02-16 00:01:03.827947 | CVE-2024-24990 | cvss:7.5 (HIGH)     | (Nginx)                                                                                     | https://www.cve.org/CVERecord?id=CVE-2024-24990 |
| 2024-02-16 00:01:04.735006 | CVE-2024-24989 | cvss:7.5 (HIGH)     | (Nginx)                                                                                     | https://www.cve.org/CVERecord?id=CVE-2024-24989 |
| 2024-02-16 00:01:05.613297 | CVE-2024-21849 | cvss:7.5 (HIGH)     | (Websocket)                                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-21849 |
| 2024-02-16 00:01:06.533523 | CVE-2024-21782 | cvss:6.7 (MEDIUM)   | "(Arbitrary Command, Execute arbitrary command)"                                            | https://www.cve.org/CVERecord?id=CVE-2024-21782 |
| 2024-02-16 00:01:07.538518 | CVE-2023-50868 | cvss:0 (Not_rated)  | "(Remote Attack, Denial of service)"                                                        | https://www.cve.org/CVERecord?id=CVE-2023-50868 |
| 2024-02-16 00:01:08.490449 | CVE-2023-50387 | cvss:0 (Not_rated)  | "(Remote Attack, Denial of service)"                                                        | https://www.cve.org/CVERecord?id=CVE-2023-50387 |
| 2024-02-16 00:01:09.421612 | CVE-2024-22019 | cvss:None           | "(Node.js, Denial of service)"                                                              | https://www.cve.org/CVERecord?id=CVE-2024-22019 |
| 2024-02-16 00:01:10.432851 | CVE-2024-21896 | cvss:None           | "(Node.js, Path Traversal)"                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-21896 |
| 2024-02-16 00:01:11.323982 | CVE-2024-21892 | cvss:None           | (Node.js)                                                                                   | https://www.cve.org/CVERecord?id=CVE-2024-21892 |
| 2024-02-16 00:01:12.351890 | CVE-2024-21891 | cvss:None           | "(Node.js, Path Traversal)"                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-21891 |
| 2024-02-16 00:01:13.362409 | CVE-2024-21890 | cvss:None           | (Node.js)                                                                                   | https://www.cve.org/CVERecord?id=CVE-2024-21890 |
| 2024-02-16 00:01:14.355607 | CVE-2024-25223 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                      | https://www.cve.org/CVERecord?id=CVE-2024-25223 |
| 2024-02-16 00:01:15.325801 | CVE-2024-25222 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                      | https://www.cve.org/CVERecord?id=CVE-2024-25222 |
| 2024-02-16 00:01:16.320150 | CVE-2024-25220 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                      | https://www.cve.org/CVERecord?id=CVE-2024-25220 |
| 2024-02-16 00:01:17.321017 | CVE-2024-25216 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                      | https://www.cve.org/CVERecord?id=CVE-2024-25216 |
