# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                                           | link                                            |
|----------------------------|----------------|---------------------|---------------------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-02-17 06:00:39.729163 | CVE-2024-22426 | cvss:7.2 (HIGH)     | "(Command injection, Remote Attack)"                                                              | https://www.cve.org/CVERecord?id=CVE-2024-22426 |
| 2024-02-17 06:00:40.601370 | CVE-2024-25466 | cvss:0 (Not_rated)  | "(Execute arbitrary code, Directory traversal)"                                                   | https://www.cve.org/CVERecord?id=CVE-2024-25466 |
| 2024-02-17 06:00:41.529304 | CVE-2024-24377 | cvss:0 (Not_rated)  | "(Remote Attack, Execute arbitrary code, obtain sensitive information)"                           | https://www.cve.org/CVERecord?id=CVE-2024-24377 |
| 2024-02-17 06:00:42.537836 | CVE-2024-22854 | cvss:0 (Not_rated)  | "(Remote Attack, HTML injection)"                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-22854 |
| 2024-02-17 06:00:43.499126 | CVE-2023-49508 | cvss:0 (Not_rated)  | "(PHP, Directory traversal, obtain sensitive information)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-49508 |
| 2024-02-17 06:00:44.497646 | CVE-2024-25415 | cvss:0 (Not_rated)  | "(PHP, Remote code execution)"                                                                    | https://www.cve.org/CVERecord?id=CVE-2024-25415 |
| 2024-02-17 06:00:45.475307 | CVE-2024-25414 | cvss:0 (Not_rated)  | "(File Upload, Execute arbitrary code)"                                                           | https://www.cve.org/CVERecord?id=CVE-2024-25414 |
| 2024-02-17 06:00:46.429352 | CVE-2024-25413 | cvss:0 (Not_rated)  | "(Arbitrary Command, Execute arbitrary command)"                                                  | https://www.cve.org/CVERecord?id=CVE-2024-25413 |
| 2024-02-17 06:00:47.292773 | CVE-2024-0041  | cvss:0 (Not_rated)  | "(Escalation of Privilege, Race Condition)"                                                       | https://www.cve.org/CVERecord?id=CVE-2024-0041  |
| 2024-02-17 06:00:48.190559 | CVE-2024-0040  | cvss:0 (Not_rated)  | "(Information disclosure, Buffer Overflow, Out of Bounds)"                                        | https://www.cve.org/CVERecord?id=CVE-2024-0040  |
| 2024-02-17 06:00:49.092999 | CVE-2024-0033  | cvss:0 (Not_rated)  | "(Escalation of Privilege, Buffer Overflow)"                                                      | https://www.cve.org/CVERecord?id=CVE-2024-0033  |
| 2024-02-17 06:00:49.997013 | CVE-2024-0032  | cvss:0 (Not_rated)  | "(Input validation, Escalation of Privilege)"                                                     | https://www.cve.org/CVERecord?id=CVE-2024-0032  |
| 2024-02-17 06:00:50.918778 | CVE-2024-0031  | cvss:0 (Not_rated)  | "(Remote code execution, Input validation, Out of Bounds)"                                        | https://www.cve.org/CVERecord?id=CVE-2024-0031  |
| 2024-02-17 06:00:51.939587 | CVE-2024-0030  | cvss:0 (Not_rated)  | "(Information disclosure, Out of Bounds)"                                                         | https://www.cve.org/CVERecord?id=CVE-2024-0030  |
| 2024-02-17 06:00:52.946111 | CVE-2023-40115 | cvss:0 (Not_rated)  | "(Use after free, Memory corruption, Escalation of Privilege)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-40115 |
| 2024-02-17 06:00:53.953817 | CVE-2023-40114 | cvss:0 (Not_rated)  | "(Use after free, Escalation of Privilege, Out of Bounds)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-40114 |
| 2024-02-17 06:00:54.902322 | CVE-2023-40112 | cvss:0 (Not_rated)  | "(Information disclosure, Out of Bounds)"                                                         | https://www.cve.org/CVERecord?id=CVE-2023-40112 |
| 2024-02-17 06:00:55.845432 | CVE-2023-40110 | cvss:0 (Not_rated)  | "(Escalation of Privilege, Buffer Overflow, Out of Bounds)"                                       | https://www.cve.org/CVERecord?id=CVE-2023-40110 |
| 2024-02-17 06:00:56.839329 | CVE-2023-40107 | cvss:0 (Not_rated)  | "(Use after free, Escalation of Privilege)"                                                       | https://www.cve.org/CVERecord?id=CVE-2023-40107 |
| 2024-02-17 06:00:57.814234 | CVE-2023-40100 | cvss:0 (Not_rated)  | "(Use after free, Memory corruption, Escalation of Privilege)"                                    | https://www.cve.org/CVERecord?id=CVE-2023-40100 |
| 2024-02-17 06:00:58.832177 | CVE-2024-23479 | cvss:9.6 (CRITICAL) | "(Remote code execution, Directory traversal)"                                                    | https://www.cve.org/CVERecord?id=CVE-2024-23479 |
| 2024-02-17 06:00:59.857786 | CVE-2024-23477 | cvss:7.9 (HIGH)     | "(Remote code execution, Directory traversal)"                                                    | https://www.cve.org/CVERecord?id=CVE-2024-23477 |
| 2024-02-17 06:01:00.798092 | CVE-2024-23476 | cvss:9.6 (CRITICAL) | "(Remote code execution, Directory traversal)"                                                    | https://www.cve.org/CVERecord?id=CVE-2024-23476 |
| 2024-02-17 06:01:01.834376 | CVE-2024-21728 | cvss:0 (Not_rated)  | (Joomla)                                                                                          | https://www.cve.org/CVERecord?id=CVE-2024-21728 |
| 2024-02-17 06:01:02.714564 | CVE-2023-6123  | cvss:7.5 (HIGH)     | "(Remote code execution, Improper Neutralization)"                                                | https://www.cve.org/CVERecord?id=CVE-2023-6123  |
| 2024-02-17 06:01:03.647736 | CVE-2024-25502 | cvss:0 (Not_rated)  | "(PHP, Remote Attack, Execute arbitrary code, Directory traversal, obtain sensitive information)" | https://www.cve.org/CVERecord?id=CVE-2024-25502 |
| 2024-02-17 06:01:04.608881 | CVE-2023-7081  | cvss:9.8 (CRITICAL) | "(SQL injection, Improper Neutralization)"                                                        | https://www.cve.org/CVERecord?id=CVE-2023-7081  |
| 2024-02-17 06:01:05.635231 | CVE-2023-5155  | cvss:9.8 (CRITICAL) | "(SQL injection, Improper Neutralization)"                                                        | https://www.cve.org/CVERecord?id=CVE-2023-5155  |
| 2024-02-17 06:01:06.637481 | CVE-2024-23113 | cvss:9.8 (CRITICAL) | (Fortinet)                                                                                        | https://www.cve.org/CVERecord?id=CVE-2024-23113 |
| 2024-02-17 06:01:07.621241 | CVE-2024-20720 | cvss:9.1 (CRITICAL) | "(Command injection, Arbitrary code execution, Improper Neutralization)"                          | https://www.cve.org/CVERecord?id=CVE-2024-20720 |
| 2024-02-17 06:01:08.650063 | CVE-2023-47537 | cvss:4.4 (MEDIUM)   | (Fortinet)                                                                                        | https://www.cve.org/CVERecord?id=CVE-2023-47537 |
| 2024-02-17 06:01:09.606559 | CVE-2023-45581 | cvss:7.9 (HIGH)     | (Fortinet)                                                                                        | https://www.cve.org/CVERecord?id=CVE-2023-45581 |
| 2024-02-17 06:01:10.644643 | CVE-2023-44253 | cvss:4.7 (MEDIUM)   | "(Fortinet, Exposure of Sensitive)"                                                               | https://www.cve.org/CVERecord?id=CVE-2023-44253 |
| 2024-02-17 06:01:11.604337 | CVE-2023-26206 | cvss:6.8 (MEDIUM)   | "(Fortinet, Improper Neutralization)"                                                             | https://www.cve.org/CVERecord?id=CVE-2023-26206 |
| 2024-02-17 06:01:12.590347 | CVE-2024-20739 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Buffer Overflow)"                                                     | https://www.cve.org/CVERecord?id=CVE-2024-20739 |
| 2024-02-17 06:01:13.606097 | CVE-2024-20733 | cvss:5.5 (MEDIUM)   | "(Input validation, Denial of service)"                                                           | https://www.cve.org/CVERecord?id=CVE-2024-20733 |
| 2024-02-17 06:01:14.628347 | CVE-2024-20731 | cvss:7.8 (HIGH)     | "(Use after free, Arbitrary code execution)"                                                      | https://www.cve.org/CVERecord?id=CVE-2024-20731 |
| 2024-02-17 06:01:15.614908 | CVE-2024-20730 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, Integer Overflow)"                                                    | https://www.cve.org/CVERecord?id=CVE-2024-20730 |
| 2024-02-17 06:01:16.601663 | CVE-2024-20729 | cvss:7.8 (HIGH)     | "(Use after free, Arbitrary code execution)"                                                      | https://www.cve.org/CVERecord?id=CVE-2024-20729 |
| 2024-02-17 06:01:17.528929 | CVE-2024-20728 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                                       | https://www.cve.org/CVERecord?id=CVE-2024-20728 |
| 2024-02-17 06:01:18.465331 | CVE-2024-20727 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                                       | https://www.cve.org/CVERecord?id=CVE-2024-20727 |
| 2024-02-17 06:01:19.333444 | CVE-2024-20726 | cvss:7.8 (HIGH)     | "(Arbitrary code execution, out-of-bounds)"                                                       | https://www.cve.org/CVERecord?id=CVE-2024-20726 |
| 2024-02-17 06:01:20.235218 | CVE-2024-1530  | cvss:6.3 (MEDIUM)   | "(PHP, SQL injection, Critical)"                                                                  | https://www.cve.org/CVERecord?id=CVE-2024-1530  |
| 2024-02-17 06:01:21.140356 | CVE-2023-32484 | cvss:9.8 (CRITICAL) | "(Input validation, Critical)"                                                                    | https://www.cve.org/CVERecord?id=CVE-2023-32484 |
