# Timezone is GMT/UTC+9

| datetime                   | cve_id         | cvss_v3             | summary                                                                               | link                                            |
|----------------------------|----------------|---------------------|---------------------------------------------------------------------------------------|-------------------------------------------------|
| 2024-02-22 00:00:39.820065 | CVE-2024-22235 | cvss:6.7 (MEDIUM)   | "(Vmware, Privilege Escalation)"                                                      | https://www.cve.org/CVERecord?id=CVE-2024-22235 |
| 2024-02-22 00:00:40.760568 | CVE-2024-1676  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Inappropriate implementation)"                        | https://www.cve.org/CVERecord?id=CVE-2024-1676  |
| 2024-02-22 00:00:41.609019 | CVE-2024-1675  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Insufficient policy enforcement)"                     | https://www.cve.org/CVERecord?id=CVE-2024-1675  |
| 2024-02-22 00:00:42.521749 | CVE-2024-1674  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Inappropriate implementation)"                        | https://www.cve.org/CVERecord?id=CVE-2024-1674  |
| 2024-02-22 00:00:43.442808 | CVE-2024-1673  | cvss:0 (Not_rated)  | "(Google Chrome, Use after free, Remote Attack, Heap corruption)"                     | https://www.cve.org/CVERecord?id=CVE-2024-1673  |
| 2024-02-22 00:00:44.426428 | CVE-2024-1672  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Inappropriate implementation)"                        | https://www.cve.org/CVERecord?id=CVE-2024-1672  |
| 2024-02-22 00:00:45.392087 | CVE-2024-1671  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Inappropriate implementation)"                        | https://www.cve.org/CVERecord?id=CVE-2024-1671  |
| 2024-02-22 00:00:46.286083 | CVE-2024-1670  | cvss:0 (Not_rated)  | "(Google Chrome, Use after free, Remote Attack, Heap corruption)"                     | https://www.cve.org/CVERecord?id=CVE-2024-1670  |
| 2024-02-22 00:00:47.224219 | CVE-2024-1669  | cvss:0 (Not_rated)  | "(Google Chrome, Remote Attack, Memory access, Out of Bounds)"                        | https://www.cve.org/CVERecord?id=CVE-2024-1669  |
| 2024-02-22 00:00:48.107630 | CVE-2024-23830 | cvss:8.3 (HIGH)     | (PHP)                                                                                 | https://www.cve.org/CVERecord?id=CVE-2024-23830 |
| 2024-02-22 00:00:49.060095 | CVE-2024-26135 | cvss:8.4 (HIGH)     | (Websocket)                                                                           | https://www.cve.org/CVERecord?id=CVE-2024-26135 |
| 2024-02-22 00:00:50.055884 | CVE-2024-24763 | cvss:4.3 (MEDIUM)   | (JumpServer)                                                                          | https://www.cve.org/CVERecord?id=CVE-2024-24763 |
| 2024-02-22 00:00:51.050075 | CVE-2024-24474 | cvss:0 (Not_rated)  | "(Integer Underflow, Buffer Overflow)"                                                | https://www.cve.org/CVERecord?id=CVE-2024-24474 |
| 2024-02-22 00:00:52.031926 | CVE-2024-22250 | cvss:7.8 (HIGH)     | (Vmware)                                                                              | https://www.cve.org/CVERecord?id=CVE-2024-22250 |
| 2024-02-22 00:00:53.014151 | CVE-2024-22245 | cvss:9.6 (CRITICAL) | "(Vmware, Active Directory)"                                                          | https://www.cve.org/CVERecord?id=CVE-2024-22245 |
| 2024-02-22 00:00:53.995904 | CVE-2024-21682 | cvss:0 (Not_rated)  | (Atlassian)                                                                           | https://www.cve.org/CVERecord?id=CVE-2024-21682 |
| 2024-02-22 00:00:55.019402 | CVE-2024-0794  | cvss:0 (Not_rated)  | "(Remote code execution, Buffer Overflow)"                                            | https://www.cve.org/CVERecord?id=CVE-2024-0794  |
| 2024-02-22 00:00:56.188805 | CVE-2023-42791 | cvss:8.6 (HIGH)     | "(Fortinet, Path Traversal)"                                                          | https://www.cve.org/CVERecord?id=CVE-2023-42791 |
| 2024-02-22 04:00:38.829375 | CVE-2024-1709  | cvss:10 (CRITICAL)  | "(Critical, Authentication bypass)"                                                   | https://www.cve.org/CVERecord?id=CVE-2024-1709  |
| 2024-02-22 04:00:39.695789 | CVE-2024-1701  | cvss:5.3 (MEDIUM)   | "(MySQL, PHP, Improper access control, Critical)"                                     | https://www.cve.org/CVERecord?id=CVE-2024-1701  |
| 2024-02-22 04:00:40.734075 | CVE-2024-1700  | cvss:4.3 (MEDIUM)   | "(MySQL, PHP)"                                                                        | https://www.cve.org/CVERecord?id=CVE-2024-1700  |
| 2024-02-22 18:00:38.799779 | CVE-2024-26483 | cvss:0 (Not_rated)  | "(File Upload, Execute arbitrary code)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-26483 |
| 2024-02-22 18:00:39.750572 | CVE-2024-26482 | cvss:0 (Not_rated)  | "(Execute arbitrary code, HTML injection)"                                            | https://www.cve.org/CVERecord?id=CVE-2024-26482 |
| 2024-02-22 18:00:40.622272 | CVE-2024-25801 | cvss:0 (Not_rated)  | "(File Upload, Execute arbitrary code)"                                               | https://www.cve.org/CVERecord?id=CVE-2024-25801 |
| 2024-02-22 18:00:41.600028 | CVE-2024-26147 | cvss:7.5 (HIGH)     | "(Kubernetes, Plugin)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-26147 |
| 2024-02-22 18:00:42.646180 | CVE-2023-52155 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2023-52155 |
| 2024-02-22 18:00:43.610130 | CVE-2023-52154 | cvss:0 (Not_rated)  | "(PHP, File Upload)"                                                                  | https://www.cve.org/CVERecord?id=CVE-2023-52154 |
| 2024-02-22 18:00:44.603823 | CVE-2023-52153 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2023-52153 |
| 2024-02-22 18:00:45.606548 | CVE-2023-51828 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2023-51828 |
| 2024-02-22 18:00:46.528792 | CVE-2023-38844 | cvss:0 (Not_rated)  | "(PHP, Remote Attack, SQL injection, Execute arbitrary code)"                         | https://www.cve.org/CVERecord?id=CVE-2023-38844 |
| 2024-02-22 18:00:47.443781 | CVE-2023-37177 | cvss:0 (Not_rated)  | "(PHP, SQL injection, Execute arbitrary code)"                                        | https://www.cve.org/CVERecord?id=CVE-2023-37177 |
| 2024-02-22 18:00:48.327627 | CVE-2024-25461 | cvss:0 (Not_rated)  | "(Remote Attack, Directory traversal, crafted request, obtain sensitive information)" | https://www.cve.org/CVERecord?id=CVE-2024-25461 |
| 2024-02-22 18:00:49.226721 | CVE-2024-25249 | cvss:0 (Not_rated)  | "(Remote Attack, Execute arbitrary code)"                                             | https://www.cve.org/CVERecord?id=CVE-2024-25249 |
| 2024-02-22 18:00:50.221881 | CVE-2024-24479 | cvss:0 (Not_rated)  | "(Remote Attack, Denial of service, Buffer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2024-24479 |
| 2024-02-22 18:00:51.197285 | CVE-2024-24476 | cvss:0 (Not_rated)  | "(Remote Attack, Denial of service, Buffer Overflow)"                                 | https://www.cve.org/CVERecord?id=CVE-2024-24476 |
| 2024-02-22 18:00:52.097422 | CVE-2024-25897 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25897 |
| 2024-02-22 18:00:53.028717 | CVE-2024-25896 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25896 |
| 2024-02-22 18:00:54.007430 | CVE-2024-25894 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25894 |
| 2024-02-22 18:00:54.902831 | CVE-2024-25893 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25893 |
| 2024-02-22 18:00:55.831181 | CVE-2024-25892 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25892 |
| 2024-02-22 18:00:56.815874 | CVE-2024-25891 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25891 |
| 2024-02-22 18:00:57.838508 | CVE-2024-1705  | cvss:5.6 (MEDIUM)   | "(PHP, Code Injection, Critical)"                                                     | https://www.cve.org/CVERecord?id=CVE-2024-1705  |
| 2024-02-22 18:00:58.855770 | CVE-2024-1704  | cvss:5.5 (MEDIUM)   | "(Path Traversal, Critical)"                                                          | https://www.cve.org/CVERecord?id=CVE-2024-1704  |
| 2024-02-22 18:00:59.820534 | CVE-2024-1212  | cvss:10 (CRITICAL)  | "(Command execution, Remote Attack)"                                                  | https://www.cve.org/CVERecord?id=CVE-2024-1212  |
| 2024-02-22 18:01:00.823659 | CVE-2024-25288 | cvss:0 (Not_rated)  | "(PHP, SQL injection)"                                                                | https://www.cve.org/CVERecord?id=CVE-2024-25288 |
